name,scenario,seed,kind,method,weight,update_hours,anticipate,raw_pv,known_price,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,final_soc,daily_cvar90,worst_day_cost,worst_date,cache_key
legacy_rebased,3,42,legacy,deterministic,0.0,"[6, 12, 18]",True,False,False,19237219.894390725,19881620.784709133,205236.06619504892,28160.0,6461219.047455555,5815388.97916,1501837.2876419593,11527045.325936005,905852.2822998695,4374.424405923883,1008873.1839843731,13446145.216626171,0.0,63.96824742492754,1336.0,0.0,0.0,0.0,1336.0,1200.0,66415.13056838785,84756.81154208397,2025-07-06,b8abf874bdcaf18b
yesterday,3,42,yesterday,deterministic,0.0,"[6, 12, 18]",True,False,False,19388507.894925617,20378323.65149244,1140285.2467881003,54180.0,5909880.642749008,5319184.414924106,2988723.175488973,11686243.124246217,1531224.1256899415,12822.810776142413,5372031.49701332,18602321.557725623,0.0,59.47509604902007,1336.0,0.0,0.0,0.0,1336.0,1200.0,155708.81554231522,186641.5376919284,2025-12-14,416b5b67676417b3
weekly,3,42,weekly,deterministic,0.0,"[6, 12, 18]",True,False,False,19741966.897290856,20266169.520210467,155997.49948998622,21500.0,6480750.78251999,5832918.007477991,1835144.749691789,11853505.864288975,707477.488285633,13686.275496942408,770486.8644580438,13345156.492529593,0.0,59.24647588317748,1336.0,0.0,0.0,0.0,1336.0,1252.2126194292532,64954.42141266726,81679.2376298513,2025-07-06,0135ad9caa613e5f
no_anticipation,3,42,mlp,risk,0.0,"[6, 12, 18]",False,False,False,19477095.48745264,19776442.59567619,308841.4444533086,33310.0,6352693.550669803,5717716.032052823,1511117.0265458561,11696830.524859618,580377.353602299,1994.4155895993333,1673491.0785799443,13952693.37263146,0.0,3360.6491974425735,1336.0,1333.0,0.0,1336.0,0.0,1200.0,69427.80027902266,109872.04850917659,2025-07-06,5a6828376dabc98b
updates_0,3,42,mlp,risk,0.0,[],True,False,False,19482226.942110196,19482226.942110196,595919.7701444658,35360.0,6350138.215494874,5715416.230395386,1504235.232188507,11698974.098066738,0.0,0.0,3578987.1713606548,15277961.269427393,0.0,948.2281731207622,334.0,334.0,0.0,334.0,0.0,1200.0,82397.79037600338,148548.1857025165,2025-07-06,6edfa9deb4ec3b39
primary,4-2,42,mlp,risk,0.0,[],True,False,False,19573922.336412143,19573922.336412143,579538.519334533,34410.0,7050499.228816824,6345629.918866808,1509402.050829993,12432922.19044825,0.0,0.0,3468475.010664167,15901397.20111242,0.0,927.9434407065855,334.0,334.0,0.0,334.0,0.0,1200.0,93158.98810154505,161116.90876955137,2025-07-06,9b2de8e15a33b1f3
risk_zero,4-2,42,mlp,risk,0.0,[],True,False,False,19573922.336412143,19573922.336412143,579538.519334533,34410.0,7050499.228816824,6345629.918866808,1509402.050829993,12432922.19044825,0.0,0.0,3468475.010664167,15901397.20111242,0.0,927.9434407065855,334.0,334.0,0.0,334.0,0.0,1200.0,93158.98810154505,161116.90876955137,2025-07-06,9b2de8e15a33b1f3
primary,4-2,2026,mlp,risk,0.0,[],True,False,False,19535866.889595143,19535866.889595143,595813.3317985246,34420.0,6992830.767051341,6293728.303277873,1493388.2626535327,12417757.338561442,0.0,0.0,3584528.263508677,16002285.60207012,0.0,941.3173938643886,334.0,334.0,0.0,334.0,0.0,1200.0,94378.57503302804,158216.63163592404,2025-07-06,ccd9bb3c90d0467c
primary,4-2,3407,mlp,risk,0.0,[],True,False,False,19525998.81946609,19525998.81946609,596076.2335893125,35090.0,7008502.220456,6307832.611342067,1482215.9489748077,12401291.456647769,0.0,0.0,3594641.450380124,15995932.907027893,0.0,945.6796588335419,334.0,334.0,0.0,334.0,0.0,1200.0,93845.57375660316,155657.99366419978,2025-07-06,8f9151cfa5f3f9f4
new_deterministic,4-2,42,mlp,deterministic,0.0,[],True,False,False,19509088.641825043,19509088.641825043,625692.5069108447,36460.0,7084833.425403871,6376530.6957951505,1487288.924160502,12359899.641235406,0.0,0.0,3754910.0153543167,16114809.656589722,0.0,30.50314503617119,334.0,0.0,0.0,0.0,334.0,1200.0,94639.48640768917,161968.10521526512,2025-07-06,6ee262ce064de531
