n,mae,rmse,wape_pct,bias,absolute_error_sum,squared_error_sum,actual_abs_sum,variant,seed,month,target,lead,population,unit
4032,135.751893946644,282.2079313265256,6.8686860040485325,-2.7227633744722777,547351.6363928686,321113788.1425031,7968796.8859,mlp,42,2,pv,18–24h,all,千瓦
2040,266.8392789842047,396.7172142094651,6.831045350032137,-6.851808426942734,544352.1291277776,321064478.02224195,7968796.885899999,mlp,42,2,pv,18–24h,generating,千瓦
16128,0.04630382854636049,0.06766349887223622,6.021175934616974,0.017275276365335143,746.788146795702,73.83961395632284,12402.696,mlp,42,2,price,all,all,元/千瓦时
4032,0.046454627985063765,0.06797837593819651,6.036430308048703,0.017736559489446264,187.3050600357771,18.632112287825333,3102.911,mlp,42,2,price,0–6h,all,元/千瓦时
4032,0.046546193314799006,0.06807923328238721,6.049730561325674,0.0178273197130374,187.6742514452696,18.68744104140896,3102.1919,mlp,42,2,price,6–12h,all,元/千瓦时
4032,0.046230385186038316,0.06749604100905517,6.012768977196444,0.016483009408059572,186.4009130701065,18.368645105244898,3100.0843999999997,mlp,42,2,price,12–18h,all,元/千瓦时
4032,0.04598410769954087,0.06709574626698714,5.985711105332774,0.017054216850797336,185.40792224454879,18.15141552184364,3097.5086999999994,mlp,42,2,price,18–24h,all,元/千瓦时
16128,178.10915606088298,367.6155937912368,9.042467827527306,-23.48167874327955,2872544.4689499205,2179557673.549944,31767262.253399998,mlp,42,2,pv_corrected,all,all,千瓦
8150,341.73459783889115,514.6017285072542,8.767318222673955,-57.19263942755464,2785136.9723869627,2158241752.7086277,31767262.253399998,mlp,42,2,pv_corrected,all,generating,千瓦
4032,88.54550964310208,157.74953387643166,4.502740634752007,8.8588229914423,357015.49488098756,100335979.04694924,7928848.7577,mlp,42,2,pv_corrected,0–6h,all,千瓦
2036,164.44064105110994,215.97154714722697,4.222569447486585,6.632821513048936,334801.14518005983,94966591.88471176,7928848.7577,mlp,42,2,pv_corrected,0–6h,generating,千瓦
4032,151.35474663534922,282.3810500591845,7.696731152798175,-31.157262499143204,610262.3384337281,321507879.56795144,7928850.914999999,mlp,42,2,pv_corrected,6–12h,all,千瓦
2036,288.85923744675915,394.05062373472975,7.417435562181984,-72.57908319679365,588117.4074416016,316141720.3178254,7928850.915,mlp,42,2,pv_corrected,6–12h,generating,千瓦
4032,204.84202464829778,386.5744798480771,10.401050416621551,-44.27348341369553,825923.0433819366,602541388.3902794,7940765.6948,mlp,42,2,pv_corrected,12–18h,all,千瓦
2038,394.90899676511873,541.5003595450904,10.135351757505578,-97.94366687862856,804824.535407312,597587739.0716479,7940765.694800001,mlp,42,2,pv_corrected,12–18h,generating,千瓦
4032,267.69434331678286,535.2579731805628,13.544624209999135,-27.354792051721752,1079343.5922532685,1155172426.5447638,7968796.8859,mlp,42,2,pv_corrected,18–24h,all,千瓦
2040,518.3303354696027,750.6682321910293,13.269178515880407,-64.82560267050052,1057393.8843579895,1149545701.4344425,7968796.885899999,mlp,42,2,pv_corrected,18–24h,generating,千瓦
16128,144.28799409884496,181.75694070562542,3.196782511261369,38.821770588248114,2327076.7688261718,532797922.85800934,72794341.2049,mlp,2026,2,load,all,all,千瓦
4032,143.98259251975406,181.05709166913368,3.187644253362134,39.37421806277321,580537.8130396483,132175695.22893822,18212126.7901,mlp,2026,2,load,0–6h,all,千瓦
4032,144.48518403751433,181.93141161592894,3.2003173342236835,39.66113852553595,582564.2620392578,133455323.36330031,18203328.0203,mlp,2026,2,load,6–12h,all,千瓦
4032,144.53343779185462,182.2543856052333,3.2035102675465663,38.96363667432997,582758.8211767578,133929577.44367918,18191258.104599997,mlp,2026,2,load,12–18h,all,千瓦
4032,144.1507620462569,181.78276026642973,3.195666105037291,37.28808909035335,581215.8725705078,133237326.82209167,18187628.2899,mlp,2026,2,load,18–24h,all,千瓦
16128,133.8079508846483,278.51636360255696,6.793328977024562,-10.254196210196184,2158054.631867608,1251070971.4039493,31767262.253399998,mlp,2026,2,pv,all,all,千瓦
8150,264.6092061966059,391.796186356045,6.7886398686167055,-20.474758017584556,2156565.030502338,1251059650.891597,31767262.253399998,mlp,2026,2,pv,all,generating,千瓦
4032,131.7989025886866,274.0865340580331,6.7022740813602875,-12.309340257250755,531413.1752375843,302897662.3086436,7928848.7577,mlp,2026,2,pv,0–6h,all,千瓦
2036,260.8654264086042,385.70717287413987,6.698601832354613,-24.519856083939654,531122.0081679182,302895767.2485595,7928848.7577,mlp,2026,2,pv,0–6h,generating,千瓦
4032,132.02158306162318,274.26661578651857,6.7135960634273655,-13.71199484814594,532311.0229044646,303295815.78907883,7928850.914999999,mlp,2026,2,pv,6–12h,all,千瓦
2036,261.2360907892553,385.95936727056034,6.708118068416522,-27.36792990435434,531876.6808469237,303291993.16240263,7928850.915,mlp,2026,2,pv,6–12h,generating,千瓦
4032,135.90442605119637,282.86483932741413,6.900677678945483,-7.885761617446536,547966.6458384237,322610469.8653824,7940765.6948,mlp,2026,2,pv,12–18h,all,千瓦
2038,268.72289151339317,397.86498226131715,6.8967814182318445,-15.753083305040763,547657.2529042952,322608356.89576876,7940765.694800001,mlp,2026,2,pv,12–18h,generating,千瓦
4032,135.50689183708712,282.7142323317096,6.8562895467178,-7.10968811794151,546363.7878871353,322267023.4408445,7968796.8859,mlp,2026,2,pv,18–24h,all,千瓦
2040,267.6024944035299,397.45731894725293,6.850583549809548,-14.274981272291438,545909.0885832009,322263533.58486617,7968796.885899999,mlp,2026,2,pv,18–24h,generating,千瓦
16128,0.04663372525237648,0.0681705762441362,6.064074463087122,0.01962081129475689,752.1087208703279,74.95048456289993,12402.696,mlp,2026,2,price,all,all,元/千瓦时
4032,0.04660051307278493,0.06829350229233914,6.055386980466691,0.019526797630957195,187.89326870946883,18.805257899986245,3102.911,mlp,2026,2,price,0–6h,all,元/千瓦时
4032,0.04687383650540714,0.06847186790627213,6.092315204285124,0.01978503622202764,188.99530878980158,18.903615472522283,3102.1919,mlp,2026,2,price,6–12h,all,元/千瓦时
4032,0.04666920587936683,0.0681724050063758,6.069842424470994,0.019508455166262057,188.17023810560704,18.73862647515263,3100.0843999999997,mlp,2026,2,price,12–18h,all,元/千瓦时
4032,0.046391345551947044,0.06774240848648135,6.038720900620894,0.01966295615978066,187.0499052654505,18.502984715238775,3097.5086999999994,mlp,2026,2,price,18–24h,all,元/千瓦时
16128,180.79999675761877,370.49202315513213,9.179079784864959,-23.347974995958808,2915942.3477068758,2213799262.96569,31767262.253399998,mlp,2026,2,pv_corrected,all,all,千瓦
8150,346.8654984495344,518.5760267903546,8.898953236239743,-57.12204614453911,2826953.8123637056,2191706928.8276153,31767262.253399998,mlp,2026,2,pv_corrected,all,generating,千瓦
4032,94.43348616647569,166.93331121831173,4.802157637998377,15.595462537465776,380755.81622323,112358656.94985682,7928848.7577,mlp,2026,2,pv_corrected,0–6h,all,千瓦
2036,175.63386869903144,228.7175686618074,4.509993412649706,19.506702062406706,357590.556671228,106506674.57286163,7928848.7577,mlp,2026,2,pv_corrected,0–6h,generating,千瓦
4032,154.15002881097038,288.01152041680336,7.838877572915402,-37.5151605187522,621532.9161658325,334456963.91976446,7928850.914999999,mlp,2026,2,pv_corrected,6–12h,all,千瓦
2036,294.2866264623855,401.9677160401153,7.5568020877261874,-85.27822784873497,599167.5714774169,328972899.08759975,7928850.915,mlp,2026,2,pv_corrected,6–12h,generating,千瓦
4032,207.71029081859055,392.03768834405196,10.546689384488262,-50.39666424398498,837487.8925805571,619692389.8992207,7940765.6948,mlp,2026,2,pv_corrected,12–18h,all,千瓦
2038,400.53974058983744,549.1917745578507,10.279864973936224,-110.10169356732878,816299.9913220886,614684451.4831983,7940765.694800001,mlp,2026,2,pv_corrected,12–18h,generating,千瓦
4032,266.90618123443846,533.4289470183217,13.504745297767911,-21.07553775856381,1076165.722737256,1147291252.1968482,7968796.8859,mlp,2026,2,pv_corrected,18–24h,all,千瓦
2040,516.6155357318489,748.0507033263434,13.225279900881104,-52.57186180726144,1053895.692892972,1141542903.6839557,7968796.885899999,mlp,2026,2,pv_corrected,18–24h,generating,千瓦
16128,142.72103414095923,179.49817572005998,3.162065622857027,29.78782868354434,2301804.8386253905,519637629.5603866,72794341.2049,mlp,3407,2,load,all,all,千瓦
4032,142.26041827760727,178.4469441807577,3.1495168746964506,30.121720798456103,573594.0064953126,128392233.53020024,18212126.7901,mlp,3407,2,load,0–6h,all,千瓦
4032,142.50149336916,179.08631532855858,3.1563789908290842,31.19655535568964,574566.0212644531,129313934.4186544,18203328.0203,mlp,3407,2,load,6–12h,all,千瓦
4032,143.02634339023163,180.2493472626942,3.1701062853018898,30.091084741162497,576682.216549414,130998983.22454534,18191258.104599997,mlp,3407,2,load,12–18h,all,千瓦
4032,143.09588152683804,180.2035874595187,3.1722805476325426,27.741953838869126,576962.594316211,130932478.38698661,18187628.2899,mlp,3407,2,load,18–24h,all,千瓦
16128,134.346652083964,277.89897831370695,6.820678431545571,12.974097250838224,2166742.804810171,1245530638.1597536,31767262.253399998,mlp,3407,2,pv,all,all,千瓦
8150,264.50927558628473,390.8987279028159,6.786076114561915,24.32564805884278,2155750.5960282204,1245334796.1297235,31767262.253399998,mlp,3407,2,pv,all,generating,千瓦
4032,132.10723251937205,273.0830223897934,6.71795335988501,6.717811560176032,532656.361518108,300683727.25793904,7928848.7577,mlp,3407,2,pv,0–6h,all,千瓦
2036,260.3897714144965,384.269427431168,6.6863877821488655,12.074375880371635,530153.574599915,300641853.45945346,7928848.7577,mlp,3407,2,pv,0–6h,generating,千瓦
4032,132.62226871914626,274.30806382312534,6.744142287553629,17.18401847034116,534732.9874755978,303387492.7576758,7928850.914999999,mlp,3407,2,pv,6–12h,all,千瓦
2036,261.606914614359,385.9978604748568,6.717640221323736,32.99835616485894,532631.678154835,303352493.12081605,7928850.915,mlp,3407,2,pv,6–12h,generating,千瓦
4032,136.58091438637254,282.88168593565103,6.935027023483083,17.109849739885522,550694.2468058541,322648898.4947947,7940765.6948,mlp,3407,2,pv,12–18h,all,千瓦
2038,268.76361663965645,397.8562949034565,6.8978266298715605,32.40084301127779,547740.2507116199,322594268.78159595,7940765.694800001,mlp,3407,2,pv,12–18h,generating,千瓦
4032,136.076192710965,281.1940066172751,6.885094661923296,10.884709232950165,548659.2090106108,318810519.64934385,7968796.8859,mlp,3407,2,pv,18–24h,all,千瓦
2040,267.26720223620134,395.2823393820946,6.8420001208284384,19.82991724436031,545225.0925618508,318746180.76785815,7968796.885899999,mlp,3407,2,pv,18–24h,generating,千瓦
16128,0.04644197232908318,0.06780535669965622,6.039139633217274,0.017054665688336603,749.0161297234536,74.14955085351929,12402.696,mlp,3407,2,price,all,all,元/千瓦时
