previous_experiment,previous_label,current_experiment,current_label,metric,unit,previous,current,absolute_change,relative_change_pct,comparable,previous_source,current_source,seed,period,population,absolute_change_unit
exp004,exp004 全年探索,exp006,exp006 正式·树DP,load_bias,kW,116.494997245791,101.162869419802,,,False,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,load_mae,kW,182.936326573486,191.830924953953,8.89459838046696,4.86212801310076,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,load_rmse,kW,252.351585808532,252.128225661351,-0.223360147181694,-0.0885114894230008,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,load_wape_pct,%,3.44334264219711,3.61076236939042,0.167419727193309,4.86212801310074,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,百分点
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,load_bias,kW,-16.4293268112909,95.8541454795668,112.283472290858,683.433189810868,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp002,exp002 午夜重评分,exp006,exp006 正式·树DP,load_mae,kW,163.903441591056,191.830924953953,27.9274833628975,17.0389853268472,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp002,exp002 午夜重评分,exp006,exp006 正式·树DP,load_rmse,kW,219.950898830724,252.128225661351,32.1773268306267,14.6293227268831,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp002,exp002 午夜重评分,exp006,exp006 正式·树DP,load_wape_pct,%,3.08509370557757,3.61076236939042,0.525668663812848,17.0389853268472,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,百分点
exp002,exp002 午夜重评分,exp006,exp006 正式·树DP,load_bias,kW,-13.5202803566342,95.8541454795668,109.374425836201,808.965664550975,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp003,exp003 正式,exp006,exp006 正式·树DP,load_mae,kW,174.558179895383,191.830924953953,17.2727450585705,9.89512211282361,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
