date,total_cost_current,total_cost_baseline,difference_yuan
2025-05-28,38441.792020106,34643.9541642195,3797.83785588649
2025-05-29,39002.5902800829,36422.3114448917,2580.27883519122
2025-05-30,16825.6119255541,13551.1906796222,3274.42124593189
2025-05-31,16713.9964308352,14161.0006741397,2552.9957566955
2025-06-01,80885.4093009416,101637.001284472,-20751.5919835306
2025-06-02,61467.1787433973,70119.4443405597,-8652.26559716239
2025-06-03,54953.0798989198,60204.4784344141,-5251.39853549437
2025-06-04,53664.1010598008,65082.7134242848,-11418.612364484
2025-06-05,57833.2654390511,68727.8094898143,-10894.5440507633
2025-06-06,39692.3346668367,49485.6351006829,-9793.30043384619
2025-06-07,26910.9202221348,35603.2170124899,-8692.29679035516
2025-06-08,54607.007829299,51141.8283062148,3465.17952308422
2025-06-09,53104.452912945,49536.2798212766,3568.17309166845
2025-06-10,52875.2025836132,48687.7441495834,4187.45843402977
2025-06-11,58832.0837248927,56524.526435969,2307.55728892369
2025-06-12,55681.8056778751,51234.2464752855,4447.55920258955
2025-06-13,25471.1991216498,20064.0779692782,5407.12115237162
2025-06-14,25800.9539901518,20157.5049572818,5643.44903286995
2025-06-15,52615.0272828976,48632.726236517,3982.3010463806
2025-06-16,53249.486037715,48358.4461687911,4891.03986892396
2025-06-17,56154.9499517001,52112.8053014367,4042.14465026342
2025-06-18,53663.0868489954,51462.5500284513,2200.5368205441
2025-06-19,53034.7700123957,48707.0384415777,4327.73157081801
2025-06-20,23791.0815195568,19321.7831389124,4469.29838064442
2025-06-21,23451.0853005485,19325.9803316646,4125.10496888394
2025-06-22,51762.8263789803,45245.3410126799,6517.48536630042
2025-06-23,51238.2590876675,47159.5416640646,4078.71742360287
2025-06-24,59144.7450968913,63279.5166412936,-4134.77154440222
2025-06-25,54567.395165594,51049.8016990132,3517.59346658079
2025-06-26,51808.4476456069,48006.1726686357,3802.27497697128
2025-06-27,22139.9148487514,18170.6041206672,3969.31072808414
2025-06-28,22588.0475753294,18081.3084218761,4506.73915345331
2025-06-29,50657.9597943929,46153.3804667904,4504.57932760251
2025-06-30,52539.4402844478,47869.2931981105,4670.14708633725
2025-07-01,66753.3246892668,65101.2203923192,1652.1042969476
2025-07-02,66048.1799121222,71140.268929974,-5092.08901785183
2025-07-03,77358.5147709541,123531.531248957,-46173.0164780026
2025-07-04,34383.9585307607,49226.8325809981,-14842.8740502374
2025-07-05,34894.6506994659,52320.7167559271,-17426.0660564612
2025-07-06,72476.6229750769,116713.415133035,-44236.7921579578
2025-07-07,60106.3646318441,66990.4597759819,-6884.09514413787
2025-07-08,61108.926832173,53410.2789446438,7698.64788752918
2025-07-09,60736.6992201358,54268.8316470531,6467.86757308263
2025-07-10,58406.7517533178,52995.348909482,5411.40284383577
