previous_experiment,previous_label,current_experiment,current_label,task,metric,population,previous,current,unit,absolute_change_unit,absolute_change,relative_change_pct,comparable,seed,same_dispatch,previous_source,current_source,period
exp002,exp002 同确定性,exp004,exp004 历史季节,dispatch,final_soc,all,1200.0,1429.3239702092117,kWh,kWh,229.32397020921167,19.11033085076764,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 历史季节,dispatch,total_cost,all,14988622.648176515,13626145.40599084,元,元,-1362477.2421856746,-9.09007634768516,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 历史季节,dispatch,planned_cost,all,11804823.080143536,12727957.705010273,元,元,923134.624866737,7.819978483366755,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 历史季节,dispatch,emergency_cost,all,3183799.5680329795,898187.7009805667,元,元,-2285611.8670524126,-71.78881139381878,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 历史季节,dispatch,planned_kwh,all,19576927.868703015,21007720.445915528,kWh,kWh,1430792.5772125125,7.3085654031543585,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 历史季节,dispatch,emergency_kwh,all,549746.4200630353,162942.3890899056,kWh,kWh,-386804.03097312973,-70.36044562669053,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 历史季节,dispatch,charge_kwh,all,6341190.389431347,6317717.491617825,kWh,kWh,-23472.897813522257,-0.37016547953904305,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 历史季节,dispatch,discharge_kwh,all,5707232.234319866,5685938.603747329,kWh,kWh,-21293.63057253696,-0.37309907321608293,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 历史季节,dispatch,daily_cvar90,all,84837.27708831233,68163.43068562927,元,元,-16673.846402683062,-19.65391508891337,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 正式,exp004,exp004 历史季节,dispatch,final_soc,all,1252.2126616066805,1429.3239702092117,kWh,kWh,177.11130860253115,14.143868212870837,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 历史季节,dispatch,total_cost,all,15258030.09119114,13626145.40599084,元,元,-1631884.6852002982,-10.695251454133833,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 历史季节,dispatch,planned_cost,all,11686193.33326584,12727957.705010273,元,元,1041764.3717444334,8.91448859380885,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 历史季节,dispatch,emergency_cost,all,3571836.7579253,898187.7009805667,元,元,-2673649.0569447335,-74.85361840829819,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 历史季节,dispatch,planned_kwh,all,19434153.144910023,21007720.445915528,kWh,kWh,1573567.301005505,8.096917263501323,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 历史季节,dispatch,emergency_kwh,all,607930.405578771,162942.3890899056,kWh,kWh,-444988.0164888654,-73.19719698264166,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp003,exp003 未校准,exp004,exp004 历史季节,dispatch,charge_kwh,all,6320654.212443613,6317717.491617825,kWh,kWh,-2936.720825788565,-0.046462292147021376,True,42,True,data/results/exp003/dispatch_metrics.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
