name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,label,lead
causal_season,42,causal_season_seed_42,False,pv,12,16,8016,4251235.8307567,3829965245.79745,-2804161.1787634,49192026.388,530.343791262064,691.223607505946,8.6421238215016,-349.82050633276,exp004 历史季节,12–16h
causal_season,42,causal_season_seed_42,False,load,16,20,8016,1688492.31643072,630482072.373501,843427.264261309,38937812.863,210.640259035769,280.4513382753,4.33638202117712,105.217972088487,exp004 历史季节,16–20h
causal_season,42,causal_season_seed_42,False,pv,16,20,8016,645356.417397123,209948464.258703,-311690.460213271,6710354.7006,80.5085351044315,161.836879854302,9.61732197762093,-38.8835404457673,exp004 历史季节,16–20h
causal_season,42,causal_season_seed_42,False,load,20,24,8016,1701566.64273566,634020630.661948,851053.667992109,30697741.1341,212.271287766424,281.237248693409,5.54297019869486,106.169369759495,exp004 历史季节,20–24h
causal_season,42,causal_season_seed_42,False,pv,20,24,8016,2579.30300827582,39406.1380673704,2577.12240827582,1.621,0.321769337359758,2.21719087758497,159118.014082407,0.321497306421634,exp004 历史季节,20–24h
causal_season,2026,causal_season_seed_2026,False,load,0,4,8016,1604139.66522265,543537186.782913,961676.306388822,27935677.3395,200.11722370542,260.396880314088,5.74226157371331,119.969599100402,exp004 历史季节,0–4h
causal_season,2026,causal_season_seed_2026,False,pv,0,4,8016,5048.73962492368,103089.524465535,5046.31382492368,1.6239,0.629832787540379,3.58614969276995,310902.12604986,0.6295301677799,exp004 历史季节,0–4h
causal_season,2026,causal_season_seed_2026,False,load,4,8,8016,1477969.61563497,435454709.965498,831557.220758163,32783673.431,184.37744706025,233.073362615648,4.50824895735268,103.737178238294,exp004 历史季节,4–8h
causal_season,2026,causal_season_seed_2026,False,pv,4,8,8016,742193.210696866,264848556.913806,-337658.541582344,7868652.7278,92.5889733903276,181.769055768456,9.43227813415495,-42.1230715546836,exp004 历史季节,4–8h
causal_season,2026,causal_season_seed_2026,False,load,8,12,8016,1480355.3922028,440077600.489205,840290.395123565,46507328.0133,184.675073877595,234.307277438473,3.18305835970507,104.826646098249,exp004 历史季节,8–12h
causal_season,2026,causal_season_seed_2026,False,pv,8,12,8016,4302538.27752479,3982277265.364,-2661622.30027206,50642302.9044,536.743797096406,704.834076941845,8.49593725160348,-332.03871011378,exp004 历史季节,8–12h
causal_season,2026,causal_season_seed_2026,False,load,12,16,8016,1604809.90432212,550983087.288779,911951.038882194,45186244.1546,200.20083636753,262.174398217933,3.55154524202416,113.766347165942,exp004 历史季节,12–16h
causal_season,2026,causal_season_seed_2026,False,pv,12,16,8016,4095222.57776737,3569934759.2449,-2563448.98273001,49192026.388,510.88106010072,667.34634382783,8.32497231455049,-319.791539761728,exp004 历史季节,12–16h
causal_season,2026,causal_season_seed_2026,False,load,16,20,8016,1745848.62483313,657295715.854115,983991.808760315,38937812.863,217.795487129881,286.3528741687,4.48368435837877,122.753469156726,exp004 历史季节,16–20h
causal_season,2026,causal_season_seed_2026,False,pv,16,20,8016,608122.668454039,197813740.070678,-301513.187166152,6710354.7006,75.8636063440668,157.090301366024,9.06245192075562,-37.6139205546597,exp004 历史季节,16–20h
causal_season,2026,causal_season_seed_2026,False,load,20,24,8016,1778377.32247182,670664900.398205,1027472.9436848,30697741.1341,221.853458392193,289.250377679615,5.79318626312978,128.177762435728,exp004 历史季节,20–24h
causal_season,2026,causal_season_seed_2026,False,pv,20,24,8016,1950.55339708665,21381.8450896198,1948.18139708665,1.621,0.243332509616599,1.63321641080215,120330.252750565,0.243036601432966,exp004 历史季节,20–24h
causal_season,3407,causal_season_seed_3407,False,load,0,4,8016,1596835.40457296,536869576.102622,900461.951619367,27935677.3395,199.206013544531,258.794798088741,5.71611486332245,112.333077796827,exp004 历史季节,0–4h
causal_season,3407,causal_season_seed_3407,False,pv,0,4,8016,2108.66585475837,38657.6986860238,2105.72925475837,1.6239,0.263057117609577,2.1960344262671,129851.952383667,0.262690775294208,exp004 历史季节,0–4h
causal_season,3407,causal_season_seed_3407,False,load,4,8,8016,1512203.10618111,450936764.311804,863355.508769772,32783673.431,188.648092088461,237.180493224555,4.61267133277132,107.704030535151,exp004 历史季节,4–8h
causal_season,3407,causal_season_seed_3407,False,pv,4,8,8016,711301.084025351,244174363.96481,-275090.251478629,7868652.7278,88.7351651728233,174.530437884356,9.03968072593063,-34.3176461425436,exp004 历史季节,4–8h
causal_season,3407,causal_season_seed_3407,False,load,8,12,8016,1469743.39212808,435824351.537454,792906.502277869,46507328.0133,183.351221572865,233.172265356579,3.16024045008083,98.9154818210915,exp004 历史季节,8–12h
causal_season,3407,causal_season_seed_3407,False,pv,8,12,8016,4203794.22194694,3801862231.48123,-2538664.65957875,50642302.9044,524.425426889589,688.68295355274,8.30095390780837,-316.699683081181,exp004 历史季节,8–12h
causal_season,3407,causal_season_seed_3407,False,load,12,16,8016,1630173.79066453,564105565.688582,940186.999286627,45186244.1546,203.364993845375,265.278063189277,3.6076771175915,117.288797316196,exp004 历史季节,12–16h
causal_season,3407,causal_season_seed_3407,False,pv,12,16,8016,4082825.82266185,3540961158.35364,-2645051.80812077,49192026.388,509.3345587153,664.632734261037,8.2997715736667,-329.971532949197,exp004 历史季节,12–16h
causal_season,3407,causal_season_seed_3407,False,load,16,20,8016,1763419.69145819,667691928.719162,995900.076200303,38937812.863,219.987486459356,288.608560661877,4.528810330623,124.239031462114,exp004 历史季节,16–20h
causal_season,3407,causal_season_seed_3407,False,pv,16,20,8016,639184.907000029,188579167.143646,-223705.553660813,6710354.7006,79.738636102798,153.379741825805,9.52535201966115,-27.9073794487042,exp004 历史季节,16–20h
