predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
exp001_gru_one_day,2,0,0,annual,net_load,pv_generating,kW,26880,10422263.716009224,7548769053.4994755,-766557.4437650366,65091408.59120001,387.7330251491527,529.9360169396223,16.011734792014096,-28.51776204483023
exp001_selected,2,0,0,annual,load,all,kW,48096,8669526.319059374,2945028750.618527,-519810.24995312496,222048476.9355,180.25462240226577,247.45161352437034,3.904339466186779,-10.807764678000769
exp001_selected,2,0,0,annual,load,pv_generating,kW,26880,4917328.458295313,1711753958.4789786,-441620.3046875,142806829.5625,182.93632657348633,252.35158580853232,3.443342642197111,-16.429326811290924
exp001_selected,2,0,0,annual,pv,all,kW,48096,8638221.941362431,5601253511.279113,652012.4644214297,114413339.9657,179.60374961249232,341.26215987340083,7.550012912788041,13.55648004868242
exp001_selected,2,0,0,annual,pv,pv_generating,kW,26880,8240308.485769624,5584148724.50453,254099.00882862174,114413339.9657,306.559095452739,455.7890171381598,7.2022270202408105,9.453088126064797
exp001_selected,2,0,0,annual,net_load,all,kW,48096,14100565.995138833,8684998062.593105,-1171822.7143745543,144333055.96420002,293.1754406840243,424.94271028376255,9.769464036454892,-24.364244726683182
exp001_selected,2,0,0,annual,net_load,pv_generating,kW,26880,10316524.041175414,7431766893.919571,-695719.3135161217,65091408.59120001,383.79925748420436,525.8131066613771,15.849286817508125,-25.88241493735572
exp002_seed_42,2,0,0,annual,load,all,kW,48096,7870928.698315625,2344379286.2025948,-387159.6513203125,222048476.9355,163.65038045400087,220.77986238321833,3.544689343040146,-8.049726615941294
exp002_seed_42,2,0,0,annual,load,pv_generating,kW,26880,4405724.509967579,1300411335.456397,-363425.1359863281,142806829.5625,163.90344159105575,219.9508988307239,3.085093705577572,-13.520280356634231
exp002_seed_42,2,0,0,annual,pv,all,kW,48096,8297438.038425766,5674846520.367779,364862.10807730374,114413339.9657,172.51825595529286,343.4967091486276,7.252159617849856,7.586121674927306
exp002_seed_42,2,0,0,annual,pv,pv_generating,kW,26880,8257294.3412670195,5673901370.044096,324718.4109185565,114413339.9657,307.1910097197552,459.4373082963732,7.217073064856314,12.080298025243918
