predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
exp002_seed_42,2,0,6,monthly,pv,pv_generating,kW,2765,996691.4859765631,847141539.4833025,282432.34414754424,10237650.7621,360.4670835358275,553.5163083510707,9.73554880057382,102.14551325408472
exp002_seed_42,2,0,6,monthly,net_load,all,kW,4320,1640704.6344948784,1303148073.7661858,-640250.0593098445,12512603.2655,379.792739466407,549.2309593469178,13.1124163348059,-148.2060322476492
exp002_seed_42,2,0,6,monthly,net_load,pv_generating,kW,2765,1270553.4780849218,1146592173.643836,-465116.8951928568,6316325.6384,459.51301196561366,643.9570744973915,20.115389085714842,-168.21587529578906
exp002_seed_42,2,0,7,monthly,load,all,kW,4464,1126980.2294058595,491872155.1191983,-375597.0457292968,23825522.6407,252.45972880955634,331.9433907720408,4.730138542609315,-84.13912314724391
exp002_seed_42,2,0,7,monthly,load,pv_generating,kW,2784,700546.16686875,302594120.0749606,-230354.87123203123,16157122.530900002,251.63296223733838,329.6822966032483,4.335834957796334,-82.74241064368938
exp002_seed_42,2,0,7,monthly,pv,all,kW,4464,926420.3813845916,669050664.5484692,-292097.23841494,12156607.0836,207.53144744278484,387.1394335159879,7.620715015412392,-65.43396917897402
exp002_seed_42,2,0,7,monthly,pv,pv_generating,kW,2784,925921.428706604,669044211.2418242,-292596.1910929275,12156607.0836,332.58672008139513,490.2219952355506,7.6166106409388545,-105.09920657073545
exp002_seed_42,2,0,7,monthly,net_load,all,kW,4464,1556851.1771772467,995350012.3051715,-83499.8073143569,14558102.5933,348.75698413468785,472.19982317598436,10.69405279430953,-18.705153968269915
exp002_seed_42,2,0,7,monthly,net_load,pv_generating,kW,2784,1130422.0065338444,806049229.651533,62241.319860896256,6889702.4835,406.04238740439814,538.0791552526088,16.407413952069305,22.35679592704607
exp002_seed_42,2,0,8,monthly,load,all,kW,4464,816720.8653957031,234682082.42227268,379251.5894386719,22521670.3527,182.95718310835645,229.28617725510236,3.626377851222705,84.95779333303582
exp002_seed_42,2,0,8,monthly,load,pv_generating,kW,2668,489459.2763050781,140002504.529256,226671.87398867187,14745514.286899999,183.4555008639723,229.07357300122428,3.3193774512152254,84.95947300924733
exp002_seed_42,2,0,8,monthly,pv,all,kW,4464,928908.209104724,663373508.991796,-218377.71257652604,13016993.167100001,208.08875651987546,385.4934198471798,7.136119664351574,-48.91973848040458
