name,date,day,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
penalty_multiplier_2,2025-11-16,319,load,144,1,2.1391634658562704,2554319.9343879283,15191.517953521328,710161.6214000001,133.18533281744632,105.49665245500923,-15.170375807609961,132.18326999632038,127.52882925858522,-24.72715277379588,364.08901938263904,364.08901938263904,156.46552901278224,230.14030214411758,17508.192575549827,379.1891713748076
penalty_multiplier_2,2025-11-16,319,pv,144,1,4.7924688145684575,5797051.69143882,12630.760277604513,263554.35510000004,200.6422273918668,87.71361303892023,-2.7546386508121197,190.11819821042457,94.77980843717114,34.04746026859136,66.11132761949087,66.11132761949087,219.35852510400304,7.588034096548015,40249.715378673034,36.938902069906085
penalty_multiplier_2,2025-11-16,319,net,144,1,5.203518607779334,8876581.168702895,24356.493332947648,468077.37549999997,248.27993229952958,169.14231481213645,-12.415737156797835,230.5220841102927,171.2567029256921,-58.77461304238721,297.977691763148,297.977691763148,251.5215472701644,154.1505291466904,61488.774253512296,567.7479507925937
penalty_multiplier_2,2025-11-17,320,load,144,1,2.2468460983248324,2580012.544664002,15809.219509538074,703618.2639,133.85347878329088,109.7862465940144,56.378015565135925,131.88569753365297,127.30553371765018,67.73841687553326,1353.072373563262,1353.072373563262,775.370929058134,3178.4806390627086,14738.27314332619,105.21533130640334
penalty_multiplier_2,2025-11-17,320,pv,144,1,3.7645335119712713,3023329.8732664557,10068.00913891411,267443.73789999995,144.89770992713503,69.91673013134799,-30.993296242712827,132.78055705230915,113.24966435106106,8.696692795622628,743.8391098251078,743.8391098251078,482.71858626368254,960.584411988557,20034.761930139604,173.65756944492747
penalty_multiplier_2,2025-11-17,320,net,144,1,4.846052444626931,6264771.6221962,22292.211425538026,460007.6388,208.5793817410379,154.8070237884585,87.37131180784874,196.45558864967091,154.26738234305455,59.04172407991062,2096.91148338837,2096.91148338837,1214.5696064791337,7633.746127024328,35871.61236044928,167.69507222169364
penalty_multiplier_2,2025-11-18,321,load,144,1,1.9555209044558406,2051733.454224465,13819.707669277392,706702.1190000001,119.3656105738579,95.97019214775966,-17.586036302583537,117.13672784030769,114.14436135049469,-22.055953801842367,422.06487126200494,422.06487126200494,236.4166287977755,309.26867283578605,13938.880314834109,351.72826719368385
penalty_multiplier_2,2025-11-18,321,pv,144,1,6.286717982443765,7552978.254803513,16179.42246193892,257358.808,229.0223523601571,112.3571004301314,45.2656398872462,210.0541131885854,197.69501421240872,-40.913779539960316,1086.3753572939088,1086.3753572939088,737.5380019692615,2048.978154401854,50402.259726178105,491.65332979916275
penalty_multiplier_2,2025-11-18,321,net,144,1,5.534139848560311,9417864.018305916,25257.625698548058,456396.5926,255.73782172462828,175.40017846213928,-62.851676189829746,241.86335778180555,233.53690033157696,18.857825738117956,1508.4402285559138,1508.4402285559138,940.2109928248608,3950.3331998712115,61451.50026058654,443.2295160361282
penalty_multiplier_2,2025-11-19,322,load,144,1,1.9428037933618612,2159010.136159277,13775.99832486911,709078.2080999999,122.44642071351264,95.66665503381326,-24.214137815910128,122.3485966411345,104.12110648719566,-14.83787378961607,581.1393075818431,581.1393075818431,347.8013026485614,586.3244701678889,14406.801475382646,292.21796969617253
penalty_multiplier_2,2025-11-19,322,pv,144,1,4.1147914275520225,3358978.0760980477,10569.596372693311,256868.3385,152.72929201554552,73.39997481037022,32.90058634360335,163.6850798514244,186.62214302935627,96.36680751179654,789.6140722464803,789.6140722464803,680.1205783141228,1082.4485817528994,22243.788057816873,22.604270158619908
penalty_multiplier_2,2025-11-19,322,net,144,1,4.182175646510124,5039612.80568778,19617.116056868865,469064.8532,187.07568294839814,136.22997261714488,-57.114724159513486,191.4715860072818,202.251482705804,-111.2046813014126,1370.7533798283237,1370.7533798283237,1000.9688766483233,3262.0917158173133,31735.219434792267,752.2979897728088
penalty_multiplier_2,2025-11-20,323,load,144,1,1.7995021739103314,1834589.3193623242,12723.897358740855,707078.7434,112.87251041189262,88.36039832458927,-4.170257840843754,111.31872711382286,111.20010481913624,-26.738938385693206,100.08618818025009,100.08618818025009,49.01594370984085,17.39105045911881,12722.81255622369,339.98268016784255
penalty_multiplier_2,2025-11-20,323,pv,144,1,4.947473311439767,3946688.011011308,12780.327267254557,258320.28720000002,165.55227462050462,88.75227268926776,-1.4782050095289618,172.38438978639763,149.1829856968941,-35.12482578303462,35.476920228695086,35.476920228695086,338.60653200525695,2.1850900501965183,27405.37054197278,377.53197606869395
penalty_multiplier_2,2025-11-20,323,net,144,1,4.7098397379609676,5535841.423742982,21709.69157947915,460943.31840000005,196.0697407057942,150.76174707971632,-2.692052831314792,201.58786084200423,186.4845088800865,8.385887397341397,64.60926795155501,64.60926795155501,327.53204773051306,7.247148446589988,38436.09607199078,400.3971527119263
