name,fold_month,date,day,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
extra_trees_min_samples_leaf_8,4,2025-04-05,94,load,144,1,3.5226028707358705,2592484.754957168,15345.037763318243,435616.4554,134.17662372361744,106.56276224526557,-40.92613041656195,131.23994368315556,113.7449239025702,-28.33510875069751,982.2271299974868,982.2271299974868,528.7467283689532,1674.9481508734375,16328.418202995788,375.58120983708517
extra_trees_min_samples_leaf_8,4,2025-04-05,94,pv,144,1,9.344426579723486,26141430.258875914,33953.138953276546,363351.7655,426.07242357501,235.78568717553156,218.16173555354533,440.4634498530017,392.2484828693184,216.89341194627227,5235.881653285088,5235.881653285088,3300.2243462415076,47594.54285973504,133943.16727134766,19.95587037336175
extra_trees_min_samples_leaf_8,4,2025-04-05,94,net,144,1,12.903315108610094,35762146.716930896,45852.527649032185,355354.6299,498.3455037318967,318.42033089605684,-259.08786597010726,516.7318896559458,451.18754462281817,-245.22852069696975,6218.108783282575,6218.108783282575,3818.263921595273,67126.52229294427,181221.7187968536,1574.884705494139
extra_trees_min_samples_leaf_8,4,2025-04-06,95,load,144,1,1.9965667782019074,2153871.6474310756,14040.508135651988,703232.5835,122.30062140499997,97.50352871980547,43.00160637959456,126.71515738601305,148.1117560078654,55.94340483478182,1032.0385531102695,1032.0385531102695,553.1525156334117,1849.1381512255878,13108.303844823547,188.44232052744474
extra_trees_min_samples_leaf_8,4,2025-04-06,95,pv,144,1,3.3477287225974095,3610893.9179095123,12613.308677495173,376772.1259,158.3529355828459,87.59242137149425,-1.2636105571597196,155.76207810440656,142.74557177399362,-66.89370035538886,30.32665337183327,30.32665337183327,163.19877105918908,1.596711640165497,25074.055496064786,458.04972573064543
extra_trees_min_samples_leaf_8,4,2025-04-06,95,net,144,1,5.4173794097362835,6117004.667088246,22820.184768477684,421240.29059999995,206.1048254578279,158.4735053366506,44.26521693675428,213.55161793321062,240.44089903547584,122.83710519017066,1062.3652064821026,1062.3652064821026,615.1509006671081,1959.4094304579178,40519.789646543795,182.6762245684623
extra_trees_min_samples_leaf_8,4,2025-04-07,96,load,144,1,1.9022706120520192,1957656.4260215394,13355.667951306179,702090.8522000001,116.596896578838,92.74769410629291,-2.9989233306638394,117.25956051917395,120.93839030518275,17.154709018380395,71.97415993593215,71.97415993593215,186.29223720747933,8.993541143199897,13585.842750673044,228.2447928499421
extra_trees_min_samples_leaf_8,4,2025-04-07,96,pv,144,1,6.2631063275610295,15633818.922606641,23964.80786696532,382634.53650000005,329.4968694275351,166.42227685392584,-51.02734227029301,348.6148178121883,288.5663855968415,-97.08022134272909,1224.6562144870322,1224.6562144870322,1063.41446065461,2603.789659169632,105964.3973033765,798.5086634704477
extra_trees_min_samples_leaf_8,4,2025-04-07,96,net,144,1,7.658732373986866,17367633.561282847,31815.704212759454,415417.36490000004,347.28744059899077,220.9423903663851,48.02841893962918,360.041617778309,289.1515219519643,114.23493036110952,1152.6820545511002,1152.6820545511002,942.5498374051434,2306.7290258405305,118301.83737195702,258.6668980838634
extra_trees_min_samples_leaf_8,4,2025-04-08,97,load,144,1,1.7888607591093018,1775244.588117116,12634.361147020974,706279.7416,111.03192071418009,87.73861907653455,-18.498691673165336,111.12996145051696,100.02791849755963,-3.483244050566883,443.96860015596803,443.96860015596803,170.64141405985777,342.2015936188365,11985.885823861136,261.95436065799066
extra_trees_min_samples_leaf_8,4,2025-04-08,97,pv,144,1,7.421353012106004,19017099.518530264,28213.0586472483,380160.5799,363.40499597680906,195.92401838366877,-56.02755307542239,342.23496072064717,239.8094536435915,104.90483868179288,1344.6612738101373,1344.6612738101373,1015.8910222613948,3139.086703619273,128924.10439728532,84.09241659656426
extra_trees_min_samples_leaf_8,4,2025-04-08,97,net,144,1,8.365485983521861,21183984.648238145,36237.84334689418,433182.7633,383.5505240534209,251.65168990898735,37.52886140225704,361.88200347413607,247.65075525001163,-108.38808273235979,900.6926736541691,900.6926736541691,913.1334529843036,1408.4154381498186,145702.58906350392,860.7588422022909
extra_trees_min_samples_leaf_8,4,2025-04-09,98,load,144,1,1.842167066431358,1808807.012532229,13006.899388208443,706065.1352,112.07658011043873,90.32569019589197,0.4770562947387178,110.84340429700899,93.79291218967606,21.738331596372618,11.449351073729227,11.449351073729227,133.93536840583587,0.22758270834983438,12560.93222654324,170.02154703705887
extra_trees_min_samples_leaf_8,4,2025-04-09,98,pv,144,1,8.466715110247353,19532697.302410755,29740.121613034116,351259.26910000003,368.29842691320493,206.52862231273693,161.00908313056016,361.2901479178264,247.6548532660014,50.14067852828913,3864.2179951334438,3864.2179951334438,2592.971690055063,25923.92485054363,109719.80641619774,258.7625476726403
extra_trees_min_samples_leaf_8,4,2025-04-09,98,net,144,1,9.003472139458255,21829701.591164634,36347.57132575524,403706.1565,389.352218355878,252.41368976218916,-160.53202683582145,379.86383169830845,270.2409936125444,-28.40234693191649,3852.768644059715,3852.768644059715,2512.373560163394,25770.5316400169,125824.6182986264,628.7876237161651
extra_trees_min_samples_leaf_8,4,2025-04-10,99,load,144,1,1.900477774708374,2057586.5164296029,13417.605025649224,706012.2041,119.53574884938544,93.17781267811961,-5.774658917314336,117.79775862858398,126.74118804212827,-14.389975514113353,138.59181401554406,138.59181401554406,225.4903422074752,33.34668561131798,14255.448567372034,346.1501174701054
extra_trees_min_samples_leaf_8,4,2025-04-10,99,pv,144,1,5.3341821498113395,10880138.384067755,20229.79921338067,379248.3767,274.8754564453256,140.48471675958797,-27.337646975955103,273.3373610189095,267.6480967381032,-10.300680954279256,656.1035274229224,656.1035274229224,530.1037849305111,747.3469421819472,74809.16961384415,490.7041786343149
extra_trees_min_samples_leaf_8,4,2025-04-10,99,net,144,1,6.833080685749624,13135859.041149043,29025.89916705856,424784.96160000004,302.02854722908694,201.56874421568443,21.56298805864076,296.9436208598737,278.5086108402966,-4.089294559834128,517.5117134073782,517.5117134073782,359.55852481652374,464.962454017084,90756.28088729572,623.8758521157378
extra_trees_min_samples_leaf_8,4,2025-04-11,100,load,144,1,3.5585411097007613,2472148.1872494034,15392.540046917322,432551.9805,131.025553785464,106.89263921470362,-14.314240097272481,135.1431584680124,153.3291676616281,-25.32358113549479,343.54176233453956,343.54176233453956,223.9778920720355,204.8974695623633,16962.79827522516,457.7716862374946
extra_trees_min_samples_leaf_8,4,2025-04-11,100,pv,144,1,5.064651784929592,8382512.004723645,20291.632695754277,400652.0795,241.2714009610173,140.91411594273802,-93.21827237891722,247.06734303262635,155.95357096945625,-47.3117989796068,2237.2385370940133,2237.2385370940133,1425.3038217842545,8689.646305310001,49522.242616381984,400.1919666010537
