fold_month,validation_days,test_days,train_start,train_end,validation_start,validation_end,test_start,test_end,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh,rmse_kw_change_pct_vs_val7,mae_kw_change_pct_vs_val7,daily_energy_rmse_kwh_change_pct_vs_val7,cumulative_error_rmse_kwh_change_pct_vs_val7
4,21,7,2025-01-08,2025-03-10,2025-03-11,2025-03-31,2025-04-01,2025-04-07,net,1008,7,9.223463879984445,171254559.69366592,259404.85250104868,2812445.0409999997,412.1836926923407,257.34608383040546,-49.27150290597404,415.39939763027064,373.21865521568003,-45.535677206208085,4077.428448956055,3618.1467764079302,2820.8980246875844,28863.581174229494,141031.81534726443,5811.710992764919,-3.248489427809542,-1.2785545002176324,-1.2831560292324018,-1.0163116852721088
4,21,14,2025-01-08,2025-03-10,2025-03-11,2025-03-31,2025-04-01,2025-04-14,load,2016,14,2.3689554384547047,34364561.29018675,208187.18012878706,8788142.5184,130.55999899810922,103.26745046070786,-15.38441590492868,130.6101928987877,128.4806925001488,-14.98655969150163,638.6591658505034,534.03489290824,479.6014229866966,708.1346009112166,16337.778737475064,4950.293425615718,4.872371902847505,4.268870373252631,15.984867840255168,24.133490609265728
4,21,14,2025-01-08,2025-03-10,2025-03-11,2025-03-31,2025-04-01,2025-04-14,pv,2016,14,6.572793130123919,232203945.31502894,344267.38430585933,5237763.8774,339.3825694258234,170.76755173901753,13.400730350609788,336.94147471767053,285.11043904486615,22.88000370649144,2876.050106208915,2475.2815435193347,1984.4574503411375,14360.528148306099,100820.00028176777,5092.242844963576,-2.2780748623756897,-3.175074180277404,-1.7527232509143231,-2.1784837109564137
4,21,14,2025-01-08,2025-03-10,2025-03-11,2025-03-31,2025-04-01,2025-04-14,net,2016,14,8.496623081603513,277438854.39370155,478982.7662526603,5637330.992000001,370.9696474941786,237.59065786342276,-28.785146255538457,369.3685147580455,314.4141959382935,-37.866563397993076,3193.5265145729973,2623.3974032967303,2203.8607756779684,17705.92291541798,119912.55644653714,10079.678433855375,-1.2984153000309195,-0.21450235306613719,0.08391373788847467,-0.05928967805216567
4,21,28,2025-01-08,2025-03-10,2025-03-11,2025-03-31,2025-04-01,2025-04-28,load,4032,28,2.345412166795526,67734790.1971068,412043.08683475305,17568045.9353,129.61212568383576,102.19322590147645,-7.695745495831709,129.38124247218488,123.54932898729635,-4.780215198836513,548.416318001873,440.18923471983123,414.7127653329168,522.1535726575202,16277.149551624916,8642.665595400664,4.817271489620878,4.032546446089391,3.1600086524695925,12.144862154426894
4,21,28,2025-01-08,2025-03-10,2025-03-11,2025-03-31,2025-04-01,2025-04-28,pv,4032,28,6.371634285988984,457098678.8048816,690418.1054919376,10835808.7502,336.7012442480646,171.23464917954803,2.461506933502511,335.7239660594032,302.9627874277509,24.731520685620314,2973.1201986053875,2372.6148397210354,2058.3894115056323,15346.256450269686,98021.47142792513,11087.512658095497,-2.0691636085516274,-2.4943979789026405,-1.2116197812147567,-1.5609036013196964
4,21,28,2025-01-08,2025-03-10,2025-03-11,2025-03-31,2025-04-01,2025-04-28,net,4032,28,8.41598594412965,542329584.2379632,945341.8381480784,11232692.6925,366.7510672065098,234.45978128672579,-10.15725242933421,365.8710058722848,330.37177464408734,-29.51173588445682,3111.8180082567997,2440.7064478914604,2176.454199619121,16811.47798005437,117694.8673170595,20472.17951091365,-0.8078580354140885,0.309308557884469,-0.18189409445997784,-0.20026351295066025
7,7,7,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-07,load,1008,7,5.002725053355272,119049611.94032596,269762.618630073,5392313.504199999,343.66375099844817,267.6216454663422,-202.15610898057528,343.30301387723415,350.4319968166322,-211.20081931260256,6666.818407244523,4851.746615533806,3769.3921265108347,77164.00638051111,40940.76736981226,10366.675497604067,0.0,0.0,0.0,0.0
7,7,7,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-07,pv,1008,7,9.796370591663484,224087661.9242487,268212.54373094195,2737876.6577000003,471.4967533471608,266.08387274895034,-185.46614927726856,472.36463308366314,439.31617614521446,-183.70533410685664,6399.107188758021,5402.4838745361185,4245.222353625325,71091.27224516419,151217.9161717492,9271.618148604393,0.0,0.0,0.0,0.0
7,7,7,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-07,net,1008,7,11.215161218674973,245209850.49767047,370136.17790169566,3300319.7251,493.21774154331246,367.1985891881901,-16.689959703306737,493.83165170709793,503.5010620195558,-27.4954852057459,5528.40540967641,4966.62319374391,3446.775006725901,53061.22634329757,190202.51422978824,8477.457545342868,0.0,0.0,0.0,0.0
7,7,14,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-14,load,2016,14,4.682852839464887,207095534.10765964,503521.0283065875,10752441.8462,320.50890686344337,249.7624148346168,-55.28745286321669,319.36003115858216,324.4358311332419,-51.80311423358857,5209.032200483477,3674.1966927402186,2943.1752380469634,47107.667475128015,55618.29190367141,12944.429178361868,0.0,0.0,0.0,0.0
7,7,14,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-14,pv,2016,14,8.237846527043823,359009268.1034748,455967.44686917006,5535032.0666000005,421.99525364504495,226.17432880415183,-107.0244871316636,415.790317504227,355.70955874441796,-94.20059305518618,5096.142841902471,4020.4076392354586,3415.9442354044245,45087.97198797535,132992.0221109705,12077.017563550318,0.0,0.0,0.0,0.0
7,7,14,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-14,net,2016,14,10.892421695128311,462485253.8008306,718959.1282179712,6600544.3816,478.96489219645446,356.6265516954222,51.73703426844691,470.65573672366435,442.46761863811514,42.39747882159761,4687.904852307255,4049.926787306121,2961.409546272466,38153.56233382971,191253.8056229315,12222.03681019113,0.0,0.0,0.0,0.0
7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,load,4032,28,4.174294924044047,329403002.3978133,890817.4161473957,21340548.1011,285.82717367973146,220.93685916354062,-1.549066094000142,285.98836522897307,289.48258885575785,14.537437673400174,3997.1896037260008,2655.333793255144,2266.4717937828727,27738.75820856809,53958.41500517528,17800.10060049475,0.0,0.0,0.0,0.0
7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,pv,4032,28,7.247382590724476,553270329.6436801,798722.2598924693,11020837.5216,370.43194222469145,198.09579858444178,-30.524192272167717,364.8467978330225,318.998510724688,-20.52272388708031,3923.8660967204523,2897.11155172579,2640.0403313334864,26730.425598944796,110489.39822141238,16455.958460736252,0.0,0.0,0.0,0.0
7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,net,4032,28,10.05425187016298,781955814.8936194,1317989.5199494017,13108777.6293,440.383303601169,326.88232141602225,28.97512617816757,436.32923333327415,408.74549527611174,35.06016156048049,3700.9801194846345,2803.0451493726005,2373.662140696407,23779.954591702255,170157.49949897715,22590.20033303433,0.0,0.0,0.0,0.0
7,14,7,2025-01-08,2025-06-16,2025-06-17,2025-06-30,2025-07-01,2025-07-07,load,1008,7,5.062228726686338,121219779.80346851,272971.24324259907,5392313.504199999,346.7819459819045,270.80480480416577,-196.65512028638193,345.67726484956404,351.7510611530035,-208.78201234101894,6576.29806728506,4773.417928413508,3723.70337014001,75082.80602391878,45174.91203507777,10346.918224217823,0.9073389248639208,1.1894252171855468,-1.3577741949758027,-1.2120987903987746
7,14,7,2025-01-08,2025-06-16,2025-06-17,2025-06-30,2025-07-01,2025-07-07,pv,1008,7,9.848742762609461,223549099.06645003,269646.4291744026,2737876.6577000003,470.9298247802001,267.50637814920896,-185.16449587300983,473.66393833457045,439.4150993292556,-186.2918394695663,6441.088843781289,5447.19075479359,4265.537943304504,72027.12759285381,149747.77227465616,9320.032042139623,-0.12024018467488018,0.5346078984654445,0.656054880546808,0.47855183985425764
7,14,7,2025-01-08,2025-06-16,2025-06-17,2025-06-30,2025-07-01,2025-07-07,net,1008,7,11.246088339233653,245902418.65422684,371156.8717618992,3300319.7251,493.913769960882,368.21118230347145,-11.490624413372121,494.51108195761935,501.5035078473624,-22.490172871452664,5664.615676582841,5363.425633166686,3531.3804285414176,55708.1089642154,188242.70319275564,8370.587424968408,0.1411199068775737,0.27576171180832,2.463825584643642,2.454625603656191
7,14,14,2025-01-08,2025-06-16,2025-06-17,2025-06-30,2025-07-01,2025-07-14,load,2016,14,4.7987073842802,214771970.27577776,515978.2208640337,10752441.8462,326.3950297026171,255.94157780954052,-46.79227895044178,325.0401834851169,332.47769918002575,-41.55517167723622,5267.6528840771325,3713.7915522798003,2987.389852634918,48173.90088042731,58359.814534144985,12955.828068096327,1.8364927504749717,2.4740163483025768,1.125366120566773,1.5022759778753336
7,14,14,2025-01-08,2025-06-16,2025-06-17,2025-06-30,2025-07-01,2025-07-14,pv,2016,14,8.23073946069113,356804690.0948143,455574.068467554,5535032.0666000005,420.6975795272024,225.979200628747,-107.10345922385,415.7206780620828,355.44695181932474,-96.06803466522608,5107.459646080296,4019.2806525191977,3418.3033389881625,45288.4445075324,131698.0089125144,12122.502933736532,-0.3075091737723912,-0.08627335225731558,0.2220660709266964,0.06906153675716453
7,14,14,2025-01-08,2025-06-16,2025-06-17,2025-06-30,2025-07-01,2025-07-14,net,2016,14,11.020733375176693,464933196.51044583,727428.3976063413,6600544.3816,480.2308041485858,360.82757817774865,60.31118027340821,472.33669414654725,446.2093970909135,54.512862987989855,4872.361281103361,4436.8547131305995,3043.1624001296645,41215.11189860275,189406.51335459456,12074.525483816733,0.26430161641410876,1.1779903830364091,3.9347306442305774,2.7606061431152407
7,14,28,2025-01-08,2025-06-16,2025-06-17,2025-06-30,2025-07-01,2025-07-28,load,4032,28,4.281565401134152,341638721.23219484,913709.523909089,21340548.1011,291.0873162857311,226.6144652552304,4.10125564438056,291.11053944787943,296.75645374324483,22.209959501605358,4107.946580064451,2712.294211655269,2349.0232873753525,29297.265806706982,55434.5598957223,17901.203450574107,1.8403227860670945,2.5697867314603107,2.7708712199993712,3.642290798364467
7,14,28,2025-01-08,2025-06-16,2025-06-17,2025-06-30,2025-07-01,2025-07-28,pv,4032,28,7.254461503938232,552318119.1096376,799502.4154160523,11020837.5216,370.11303745404825,198.2892895377114,-30.56736329639898,365.51431984882555,319.26688713394753,-21.957759383215347,3942.537881813919,2924.4039952047465,2648.678112126792,26985.425259614196,109998.2352338475,16574.557398122608,-0.08608997613109848,0.09767544524026395,0.4758517399223283,0.32718366802155785
7,14,28,2025-01-08,2025-06-16,2025-06-17,2025-06-30,2025-07-01,2025-07-28,net,4032,28,10.196456568406276,788763669.585948,1336630.8176205326,13108777.6293,442.29617917811873,331.5056591320765,34.668618940779545,438.5220993007948,412.05315178117576,44.1677188848207,3902.4210735203214,3054.6187424595482,2473.443112333315,26439.04554697135,169186.86456859115,22436.938230320317,0.4343660536872074,1.414373740380448,5.442908298133142,4.2036720359719615
