name,factor,factor_value,weight,window,penalty_multiplier,gain,seconds,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh,rmse_kw_change_pct,mae_kw_change_pct,daily_energy_rmse_kwh_change_pct,cumulative_error_rmse_kwh_change_pct
window_21,window,21.0,0.5,21,1.0,0.5,0.48465320898685604,net,48096,334,8.09017315366008,6201297864.931931,11676794.145472888,144333055.96420002,359.07636214559125,242.78098273188806,-8.08941828934341,361.3387053297343,344.8218908748699,-16.058683930575913,3574.8110381431034,2479.526063581656,2272.4739607479214,22186.2395111628,106749.594340549,255303.1786422081,0.536037892710195,0.31420132552391067,0.9036590476931838,0.7838996750188842
window_35,window,35.0,0.5,35,1.0,0.5,0.8002745830453932,load,48096,334,2.9717922492737228,1614178585.2037327,6598819.427199539,222048476.9355,183.1982459807324,137.201002727868,-4.176254405697537,185.66509539685782,191.27867542221384,-0.8956397572272163,1969.5452136794934,1138.2795782333203,1137.3727538228052,6734.56310543021,26827.034224986717,143308.4910029296,0.11545070379090916,0.1663903379232723,0.12671122860483663,0.5246898785836951
window_35,window,35.0,0.5,35,1.0,0.5,0.8002745830453932,pv,48096,334,6.4137096910807925,4506590574.373404,7338139.4732693145,114413339.9657,306.1044002054348,152.5727601727652,7.287218859882938,306.25450839917625,281.13206132541023,15.029923793680105,2882.088058005388,2072.2642536195494,1972.0870821832677,14420.888149474422,79279.01567565456,128902.59262206366,-0.3080893998322676,-0.44799363672408665,-0.25206849673836684,-0.32120787995174593
window_35,window,35.0,0.5,35,1.0,0.5,0.8002745830453932,net,48096,334,8.053014112741122,6105802168.374903,11623161.36614757,144333055.96420002,356.30087176248446,241.66586340127185,-11.463473265580475,358.2631301505976,341.2878856193876,-15.925563550907318,3547.1051454650005,2475.851053112427,2256.504165403651,21843.671723931046,105106.63949477534,253776.63424835712,-0.2410581117706978,-0.14655265847718368,0.12162443982888238,0.07564150370069633
window_42,window,42.0,0.5,42,1.0,0.5,0.8971096669556573,load,48096,334,2.980769159169175,1624104822.4129279,6618752.518898264,222048476.9355,183.7606627416764,137.6154465838794,-4.5780078982514025,186.29333180096623,192.17767789123246,-0.8456293229324424,1972.0207381106902,1149.1204222472106,1137.9141541177205,6751.503110310124,27016.47806095002,143911.23493784489,0.4228041241462366,0.46896352783449835,0.25256064711032256,0.57254059116989
window_42,window,42.0,0.5,42,1.0,0.5,0.8971096669556573,pv,48096,334,6.418596921736748,4514565431.832069,7343731.11709462,114413339.9657,306.37512148731776,152.6890202323399,7.346877708307247,306.3965385749051,280.9633105509798,14.33877299535198,2886.6867635271574,2081.937627501285,1975.727842411625,14466.945261671694,79398.76980469702,129444.20511454601,-0.21992104350375685,-0.3721352582201298,-0.09290911154367087,-0.1371862993430395
window_42,window,42.0,0.5,42,1.0,0.5,0.8971096669556573,net,48096,334,8.071658116184237,6124896714.367999,11650070.82607109,144333055.96420002,356.85756296060515,242.2253581601607,-11.92488560655865,358.6467081902424,341.34418134854695,-15.18440231828442,3576.3216656138566,2511.363257613016,2271.446849861721,22204.994194338655,105142.32604784363,253320.53862799538,-0.08519286056236641,0.08462389107048995,0.9462984592958135,0.7383474520680666
penalty_multiplier_0.5,penalty_multiplier,0.5,0.5,28,0.5,0.5,0.6196561249671504,load,48096,334,2.9739873107207164,1620064187.4978156,6603693.527710387,222048476.9355,183.53192992211453,137.3023438063537,-3.7133622704240037,186.0993571095835,191.81874076579584,-0.6872552114036455,1976.4095161004202,1128.6429974605558,1138.124557556682,6781.587804396349,26902.3814965396,143379.88047683323,0.297804623203457,0.24037645918359996,0.47567505107122265,0.5911367289619385
penalty_multiplier_0.5,penalty_multiplier,0.5,0.5,28,0.5,0.5,0.6196561249671504,pv,48096,334,6.446952117000951,4523452531.570759,7376173.243050192,114413339.9657,306.676528969666,153.36354879928044,6.036224325284227,306.710106418841,281.33303805185136,13.587167629239037,2896.7894811656306,2075.4256195062994,1982.5698122613892,14568.384198249727,79482.10922263266,131406.34282892096,-0.12175882249577663,0.06798702908878962,0.2567419632040657,0.20863985433332566
penalty_multiplier_0.5,penalty_multiplier,0.5,0.5,28,0.5,0.5,0.6196561249671504,net,48096,334,8.064277516657961,6127736157.973213,11639418.181226335,144333055.96420002,356.94027125457376,242.0038710334817,-9.749586595708232,358.94738074885464,341.9367525885669,-14.27442284064268,3544.442184265459,2478.29169164931,2257.257991124087,21810.88610694531,105595.47113634339,252311.51402970913,-0.06203576905462471,-0.0068919433522829365,0.04645892028989351,0.10907356809093383
