name,month,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
gain_0.6,5,net,4464,31,9.478685142602073,635544585.5359986,1168705.498175572,12329827.192200001,377.32094947192365,261.80678722571054,-43.46717863081756,383.0759408704981,361.91433508561744,-61.36627276289265,3320.2935877363243,2293.553377165538,2096.413938214599,19139.49567493568,123231.60323545823,30894.99184231258
gain_0.6,6,load,4320,30,3.731027975262672,231373640.43290603,773726.021516554,20737609.7592,231.42755467569694,179.10324572142454,8.497205823378755,239.9606390614746,261.3279600157999,35.036377151724025,2959.1536827847085,2031.4322032736984,1626.349763711164,15202.414094337331,38356.29896883537,15222.425421801163
gain_0.6,6,pv,4320,30,8.843827104588726,709233011.7025273,905400.132971734,10237650.7621,405.1842892616567,209.58336411382732,23.617411767143352,409.08560777560024,378.2875083690659,13.626342756349674,4303.825372175079,3114.6832268935127,2888.9498730794767,32157.834781558948,132016.47348291497,17185.044243929628
gain_0.6,6,net,4320,30,11.281116398201819,966531714.2271001,1411561.3388262568,12512603.2655,473.00548951161767,326.75030991348535,-15.120205943764605,483.0398433012631,476.0132862946851,21.41003439537435,6055.878594466539,4230.119169105708,3681.6112679647686,63669.558248121546,160064.63486000345,29190.793257390924
gain_0.6,7,load,4464,31,3.9826265000727012,339641063.613159,948881.5784693395,23825522.6407,275.8341306932076,212.56307761409934,-0.1327396000028866,275.55403729074027,276.73522953578276,9.706140823971953,3651.3066540380582,2268.577647925102,2082.235311667792,23145.903267053123,52938.56438822443,19120.15195087707
gain_0.6,7,pv,4464,31,7.09673199014614,588838786.597774,862721.8238182128,12156607.0836,363.1918643513957,193.26205730694733,-25.32488129180711,358.13892884909535,313.5220343501023,-14.92978638218228,3746.4032643638343,2719.5918103760464,2524.9027505131257,24367.252463951383,107541.07786709118,17359.525192372115
gain_0.6,7,net,4464,31,9.774546230872579,837925459.130446,1422988.4683199683,14558102.5933,433.2520237845995,318.7698181720359,25.19214169180421,429.66923028178206,402.4373938930934,24.63592720615424,3609.930389761647,2579.5909838947205,2345.8168408756205,22624.301074522,165083.01503892915,25192.06713517058
gain_0.6,8,load,4464,31,3.117544403958744,174200301.1680927,702123.0737586343,22521670.3527,197.5433242532129,157.28563480256145,16.513706031854888,195.5297952262416,192.54084615742923,25.53389357715669,1252.9775901105209,948.3505658990384,821.7052232966385,2725.6125717346686,36297.752385275344,11823.406880951434
gain_0.6,8,pv,4464,31,6.166490228945913,493692134.21625936,802691.6117517787,13016993.167100001,332.5569366106678,179.81442915586442,5.6812173979826355,338.2304884512295,330.08547164965677,33.22652254272486,2927.191627227918,2241.392688968416,2024.843236381966,14875.782677974357,95718.33340989737,13764.722693636568
gain_0.6,8,net,4464,31,8.498064499447132,701618907.2329283,1254606.4585235936,14763437.7052,396.45011574296376,281.04983389865447,10.832488633872254,400.1065836963742,385.72283053827954,-7.6926289655681614,3474.4448937935654,2673.260245541937,2372.3934007017656,20957.929375014195,136214.76489759516,26154.193525679788
