family,level,replicate_id,n_days,total_cost_yuan,cost_change_pct,emergency_cost_yuan,emergency_kwh,peak_emergency_kw,throughput_kwh,reversals,final_soc_kwh,balance_error_kwh,soc_error_kwh,simultaneous_slots,emergency_charge_slots,min_soc_kwh,max_soc_kwh,max_power_kw,physics_passed
efficiency,0.9,-1,334,13201981.947942168,2.220446049250313e-14,567047.7420382388,105253.93276485713,5293.094612056285,11353818.825263001,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
efficiency,0.925,-1,334,13097376.792696316,-0.7923443287403908,462442.58679238707,87750.94958896731,5293.094612056285,11228738.561321067,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
efficiency,0.95,-1,334,13025061.31254983,-1.3401066301254372,390127.10664590076,75666.56506246947,5293.094612056285,11100161.476117525,2533,1318.0755883097204,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,0,334,13281433.448332977,0.6018149449385835,646499.2424290478,120139.40034370797,5203.251514115551,11332632.395959605,2531,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,0,334,13466624.935851881,2.004570139190087,831690.7299479526,155771.1828892259,5165.508458471395,11291988.379596481,2535,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,0,334,14562603.139385227,10.306188849585162,1927668.9334812984,362525.41924229177,5282.425341416534,11084995.740992785,2507,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,0,334,17177791.442767527,30.115247168968317,4542857.236863598,876094.8787977613,5996.513772037516,10694377.267470535,2457,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,1,334,13242800.338747201,0.3091838101732858,607866.1328432728,113538.51073488477,5216.878174392655,11343160.042149622,2527,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,1,334,13415063.163390765,1.614009292610885,780128.9574868362,145472.57769791785,5141.200403553577,11307801.02681674,2525,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,1,334,14549595.728211327,10.207662649313187,1914661.5223073978,358569.6469593002,5548.612504190558,11093307.561619591,2491,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,1,334,17466244.63807729,32.30017058764276,4831310.43217336,935537.7421146673,6631.445987640029,10612998.140260283,2419,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,2,334,13252324.414493632,0.3813250673268209,617390.2085897028,114236.33665458747,5295.70609502584,11358272.871182263,2531,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,2,334,13445308.540270228,1.843106537242245,810374.3343662992,150973.8222613781,5297.774229205156,11328858.064096145,2527,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,2,334,14652745.655748472,10.988984180761129,2017811.449844543,381339.8080586096,5633.381093931435,11122451.392688043,2505,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,2,334,17625426.92900998,33.505915994358034,4990492.723106053,966049.8966156947,7457.739006053285,10695410.627261244,2427,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,3,334,13239974.173047958,0.28777667819577246,605039.9671440292,113969.90909028857,5392.638468176394,11355833.334721535,2531,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,3,334,13377877.523287762,1.3323421895226506,742943.3173838332,141724.76839124114,5493.439299962663,11340637.234413976,2527,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,3,334,14381781.111725772,8.936530654531794,1746846.905821843,338124.394956407,5803.407222464683,11182706.115652246,2503,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,3,334,17077348.614935376,29.35443088980496,4442414.409031447,873950.3654899689,6403.256159095291,10798480.984835487,2439,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,4,334,13220949.230047476,0.14366995940535698,586015.0241435468,109294.10285146437,5373.185219284267,11351862.779253207,2531,1312.602755949953,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,4,334,13376257.64118654,1.3200721977319363,741323.4352826104,139581.60961237978,5453.894516647103,11319479.798697218,2521,1572.9158167289945,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,4,334,14480462.082634322,9.684001536537767,1845527.8767303936,347616.8536321474,5909.888787237792,11109338.128486566,2499,2073.021684062155,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,4,334,17290287.73307182,30.967363849235618,4655353.52716789,893491.9749266213,6473.323149144307,10680851.970462415,2437,2767.521819180251,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,5,334,13239529.386654612,0.2844075901671683,604595.180750683,112264.43352337263,5311.256481163339,11350560.492515964,2525,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,5,334,13377390.982906543,1.3286568308913616,742456.777002614,138752.2004420783,5328.9312551292705,11330837.11516127,2523,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,5,334,14380044.301852806,8.923374979271713,1745110.0959488768,330384.8218684871,5513.566272253005,11163887.481426194,2499,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,5,334,17156338.051544014,29.95274587705543,4521403.845640086,869875.3109727968,6867.46304124768,10741613.933425972,2441,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,6,334,13272078.797182672,0.5309570147642217,637144.591278743,119269.34478747161,5309.48686936901,11361576.125544066,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,6,334,13459812.118106283,1.9529656318330701,824877.9122023545,155133.02474660738,5425.38393446314,11347516.376042526,2527,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,6,334,14814271.493030056,12.212481061142523,2179337.2871261276,405642.5015677085,5737.033308925902,11140242.353070144,2503,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
