scenario,variant,seed,known_price,corrected,update_schedule,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,initial_soc,final_soc,days
3,tcn,3407,False,True,0+6+12+18,19700590.602666494,20364494.379424237,269298.96755528456,34310,6553917.42398471,5315106.059953449,1455792.4879815946,11934118.285213426,852942.1557134822,0.0,1293271.7029791556,14080332.143906062,0,3.320426323101856,8347.718362037042,1200.0,334
3,tcn,42,False,True,0+6+12+18,19734219.36201275,20316289.680886112,300112.3251846518,34290,6559019.9880700335,5319239.13686256,1437431.659896626,11969372.502949152,738756.1777394001,0.0,1475113.2701155082,14183241.95080406,0,3.1384434557985514,8347.718362037042,1200.0,334
3,tcn,mean,False,True,0+6+12+18,19755790.159508485,20349947.501758806,272450.1254496364,34450,6573958.7775108125,5331339.556309592,1440588.9110405543,11972149.416932223,759217.315068232,0.0,1318509.6249245869,14049876.356925042,0,3.276065039099194,8347.718362037042,1200.0,334
3,weekly,baseline,False,True,0+6+12+18,20274617.865424663,20822766.442987304,172015.22225729152,24960,6585035.174248652,5334097.3834802415,1804654.3795095184,12320622.953869969,623313.0537133651,0.0,832024.8749269359,13775960.882510269,0,3.9908653665333986,1481.1043331481474,1237.8906233333335,334
3,yesterday,baseline,False,True,0+6+12+18,19919667.326395735,20929870.462008167,1159408.0011792218,57920,5929877.797235049,4809633.962286223,3029845.133271898,12152792.336310731,1451214.7403668975,0.0,5417098.608386136,19021105.685063764,0,4.318270338932052,8347.718362037042,1200.0,334
4-2,gru,2026,False,True,0,19787863.71154328,19787863.71154328,809744.1895528687,48910,6313931.744984862,5120379.164220505,1464865.8253651245,12619115.577499269,0.0,0.0,4879916.184661628,17499031.762160897,0,1.0056635943474248,7974.824120370375,1203.2121395182296,334
4-2,gru,3407,False,True,0,19859329.461379584,19859329.461379584,752671.6995347633,47780,6352468.07164563,5151518.832230966,1471862.4265330182,12677646.78250843,0.0,0.0,4530001.270202902,17207648.05271133,0,0.9664029856212437,7974.824120370375,1286.2750114756943,334
4-2,gru,42,False,True,0,19763693.35648483,19763693.35648483,774689.7749919022,47390,6313537.989214715,5120063.112972252,1405718.7602676044,12633357.375505636,0.0,0.0,4666881.69753492,17300239.073040556,0,0.9489522847579792,7974.824120370375,1200.0,334
4-2,gru,mean,False,True,0,19805992.24282602,19805992.24282602,758803.8150565114,47760,6328406.968517746,5132090.942452025,1429290.5368501402,12642892.93421504,0.0,0.0,4585990.1723070135,17228883.106522053,0,0.9460855480283499,7974.824120370375,1217.8263952039933,334
4-2,gru_no_calendar,2026,False,True,0,19766280.36747008,19766280.36747008,814652.9620599806,49960,6385314.462537849,5178202.056363991,1434631.4283895358,12614933.536107408,0.0,0.0,4951608.950210492,17566542.4863179,0,0.9845411635469645,7974.824120370375,1200.0,334
