predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,policy_label,experiment,name,seed,order,case_id,alpha_load,alpha_pv,target_label,month_label
exp001_selected,2,0,5,monthly,net_load,pv_generating,kW,2747,1073266.5031106384,774235419.126065,-207693.24394875087,6273829.088099999,390.7049519878552,530.8932308319269,17.10704082051544,-75.60729666863882,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,5月
exp001_selected,2,0,6,monthly,net_load,pv_generating,kW,2765,1284123.1027814555,1175573989.953499,-564392.524810071,6316325.6384,464.4206520005265,652.0447709679561,20.330223238881953,-204.12026213745787,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,6月
exp001_selected,2,0,7,monthly,net_load,pv_generating,kW,2784,1149271.2624058588,821257419.778463,-99686.8075279424,6889702.4835,412.81295345038035,543.1315579933107,16.680999871303932,-35.80704293388736,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,7月
exp001_selected,2,0,8,monthly,net_load,pv_generating,kW,2668,1173217.305574701,913349613.4255476,588555.8563953354,6987281.6394,439.7366212798729,585.0939561863526,16.790754489688002,220.5981470747134,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,8月
exp001_selected,2,0,9,monthly,net_load,pv_generating,kW,2415,997065.2126597188,742348780.831568,75522.85143211487,6015582.0124,412.8634420951217,554.4283538169537,16.574708990825076,31.272402249322926,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,9月
exp001_selected,2,0,10,monthly,net_load,pv_generating,kW,2321,754942.0175150947,459845761.2431621,-37375.6261314087,5765002.5227,325.265841238731,445.1112013623886,13.095259100797804,-16.10324262447596,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,10月
exp001_selected,2,0,11,monthly,net_load,pv_generating,kW,2095,561108.8137223824,254488314.6149768,-231119.54576338656,4878031.1099,267.83236931855964,348.53139866359845,11.502772349762346,-110.31959224982651,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,11月
exp001_selected,2,0,12,monthly,net_load,pv_generating,kW,2097,641392.8779836819,357935802.2670206,-390658.91996895714,5724641.100099999,305.8621258863528,413.14581229395594,11.204071430302903,-186.2941916876286,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,12月
exp001_selected,2,0,2,monthly,pv,all,kW,4032,652262.7267890519,325967854.2042404,70082.75627600025,7928848.7577,161.77150962030058,284.3329068813096,8.226449346200674,17.381635981150854,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,2月
exp001_selected,2,0,3,monthly,pv,all,kW,4464,807742.5890705094,553466429.5280405,21504.774579949983,10285934.3167,180.9459204907055,352.11420763277215,7.852884961155912,4.817377818089154,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,3月
exp001_selected,2,0,4,monthly,pv,all,kW,4320,844589.6404401157,586634872.7435039,-64919.35340832033,11671282.1779,195.50686121298975,368.503879805039,7.236476914587644,-15.027628103777854,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,4月
exp001_selected,2,0,5,monthly,pv,all,kW,4464,955024.7837906644,665109655.7233431,127183.5508272671,12528226.6982,213.93924368070435,385.9975369148528,7.622984535615706,28.490938805391377,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,5月
exp001_selected,2,0,6,monthly,pv,all,kW,4320,1043213.411816604,874104189.4477328,392094.6453478652,10237650.7621,241.4845860686583,449.8210007797888,10.189968734610504,90.7626493860799,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,6月
exp001_selected,2,0,7,monthly,pv,all,kW,4464,942242.7979701766,632619017.3674407,-203969.4221198382,12156607.0836,211.07589560263813,376.4514971374232,7.750869889027829,-45.69207484763401,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,7月
exp001_selected,2,0,8,monthly,pv,all,kW,4464,997112.2207061996,703733394.239493,-378128.9382343765,13016993.1671,223.36743295389775,397.0470622952722,7.660081002626368,-84.70630336791588,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,8月
exp001_selected,2,0,9,monthly,pv,all,kW,4320,775164.5686350518,505381110.2742343,108865.93543387376,11264829.8663,179.43624273959534,342.0327003650904,6.881280745784217,25.20044801710041,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,9月
exp001_selected,2,0,10,monthly,pv,all,kW,4464,676925.695931611,381254531.7861854,95351.20299801722,10554293.4631,151.64106091657953,292.24387270719325,6.413747147530849,21.360036513892748,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,10月
exp001_selected,2,0,11,monthly,pv,all,kW,4320,475209.6435823599,196364668.57186824,243991.79029310204,8010905.7698,110.00223231073146,213.201276712022,5.932033870300086,56.47958108636621,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,11月
exp001_selected,2,0,12,monthly,pv,all,kW,4464,468733.8626300879,176617787.39303032,239955.5224278891,6757767.9032,105.00310542788706,198.9093173551625,6.936223163392882,53.75347724639093,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,12月
exp001_selected,2,0,2,monthly,pv,pv_generating,kW,2036,562455.675701203,318667120.54094297,-19724.294811848587,7928848.7577,276.2552434681744,395.6213688064117,7.093787419705558,-9.687767589316596,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,光伏,2月
