date,repeat,grid_kwh,off_grid_check,risk_seconds,planning_seconds,grid_states,max_actions_per_state,objective_surrogate_yuan,terminal_value_yuan_per_soc_kwh,exact_for_discrete_surrogate_only,projected_seconds,greedy_seconds,full_day_seconds,greedy_simultaneous_slots,total_cost,planned_cost,emergency_cost,simultaneous_slots,throughput_kwh,direction_reversals,equivalent_full_cycles,initial_soc,final_soc,final_mode,max_balance_error,max_state_error
2025-09-23,0,25.0,False,0.005678500048816204,0.1282687080092728,385,67,43005.15321941353,0.39138456507350644,True,0.0003570830449461937,0.0002951250644400716,0.1343042911030352,0,42440.113908778265,41016.628981939255,1423.4849268390187,0,33073.88494795385,9,1.385616828537776,6000.0,1691.5712221361205,-1,0.0,9.094947017729282e-13
2025-11-01,0,100.0,False,0.005711624980904162,0.01256099995225668,97,16,16220.331294796848,0.39138456507350644,True,0.00034791696816682816,0.00028620800003409386,0.01862054190132767,0,17039.418866864,15591.603235350543,1447.815631513456,0,24418.867734759115,6,1.0249823263215945,6000.0,1923.498742764094,-1,0.0,9.094947017729282e-13
2025-11-01,0,50.0,False,0.005711624980904162,0.03561883303336799,193,33,16134.169854481843,0.39138456507350644,True,0.0003447079798206687,0.0002892089542001486,0.04167516599409282,0,16883.8531233186,15514.014200065103,1369.838923253496,0,24679.813258683535,6,1.0358860138838946,6000.0,1902.5104193180155,-1,0.0,9.094947017729282e-13
2025-11-01,0,25.0,False,0.005711624980904162,0.13154416694305837,385,67,16107.958122290256,0.39138456507350644,True,0.00035799993202090263,0.0002894999925047159,0.13761379185598344,0,16804.7356130842,15412.522823350955,1392.2127897332464,0,25005.04645570538,6,1.0495702358716148,6000.0,1833.3712326414716,-1,0.0,9.094947017729282e-13
2025-12-21,0,100.0,False,0.00623616692610085,0.013047207961790264,97,16,62053.7593301134,0.39138456507350644,True,0.00034654198680073023,0.00028854107949882746,0.019629916874691844,0,61333.74955551422,60508.6741161955,825.0754393187187,0,39550.660747143906,9,1.655186049452135,6000.0,1656.1870033759615,-1,0.0,9.094947017729282e-13
2025-12-21,0,100.0,True,0.00623616692610085,0.013876041979528964,98,18,62008.29373575823,0.39138456507350644,True,0.0003327500307932496,0.0002912919735535979,0.020444958936423063,0,61288.37408607238,60463.298646753654,825.0754393187187,0,39505.59829048651,9,1.6534047994521348,6042.75,1656.1870033759615,-1,0.0,9.094947017729282e-13
2025-12-21,0,50.0,False,0.00623616692610085,0.0383606250397861,193,33,61742.48763101303,0.39138456507350644,True,0.00035212491638958454,0.0002875420032069087,0.044948916882276535,0,61324.97387015719,60201.76469733723,1123.2091728199698,0,40267.71777247981,9,1.6850469793985978,6000.0,1644.803421508208,-1,0.0,8.526512829121202e-13
2025-12-21,0,50.0,True,0.00623616692610085,0.039838750031776726,194,34,61723.09159016562,0.39138456507350644,True,0.0003897090209648013,0.000328624970279634,0.04646462597884238,0,61305.6679542231,60182.45878140313,1123.2091728199698,0,40222.65531582241,9,1.6832657293985975,6042.75,1644.803421508208,-1,0.0,8.526512829121202e-13
2025-12-21,0,25.0,False,0.00623616692610085,0.140368124935776,385,67,61603.54190186963,0.39138456507350644,True,0.00038712506648153067,0.00029908306896686554,0.14699141692835838,0,61177.94688434852,60054.73771153177,1123.2091728167502,0,40897.28526248074,9,1.711240557113894,6000.0,1645.7352385224472,-1,0.0,9.094947017729282e-13
2025-12-21,0,25.0,True,0.00623616692610085,0.13180149998515844,386,68,61584.145861022655,0.39138456507350644,True,0.0003662080271169543,0.0003029590006917715,0.13840387493837625,0,61158.64096841485,60035.4317955981,1123.2091728167502,0,40852.222805823345,9,1.709459307113894,6042.75,1645.7352385224472,-1,0.0,9.094947017729282e-13
2025-02-01,1,100.0,False,0.005773041979409754,0.012280042050406337,97,16,47955.914512426534,0.39138456507350644,True,0.0003512499388307333,0.0002885840367525816,0.018404333968646824,0,36570.95469290548,36570.95469290548,0.0,0,22920.9388442939,7,0.9555018547327169,6000.0,5185.391386258548,-1,0.0,9.094947017729282e-13
2025-02-01,1,50.0,False,0.005773041979409754,0.035124292015098035,193,33,47754.370227932064,0.39138456507350644,True,0.00033941701985895634,0.0002839169465005398,0.041236751014366746,0,36199.24008291572,36199.24008291572,0.0,0,23207.979029883223,7,0.9674446062756085,6000.0,5185.701281458156,-1,0.0,9.094947017729282e-13
2025-02-01,1,25.0,False,0.005773041979409754,0.1287791250506416,385,67,47695.32383836766,0.39138456507350644,True,0.0003391669597476721,0.00028358306735754013,0.13489133398979902,0,36217.780737580884,36217.78073758088,0.0,0,23275.387697355567,7,0.9706166074121408,6000.0,5018.258302696431,-1,0.0,9.094947017729282e-13
2025-02-15,1,100.0,False,0.003521875012665987,0.012342499918304384,97,16,19094.79562233969,0.39138456507350644,True,0.00033308297861367464,0.0002891670446842909,0.016197457909584045,0,19768.85224715041,17974.611579363827,1794.240667786587,0,26402.038410371824,5,1.1076576275396253,6000.0,1851.5793300886091,-1,0.0,7.958078640513122e-13
2025-02-15,1,50.0,False,0.003521875012665987,0.035210292087867856,193,33,18844.428610372972,0.39138456507350644,True,0.00033654191065579653,0.00028795795515179634,0.03906870901118964,0,19441.58518387688,17710.89246678361,1730.6927170932659,0,26812.093644204127,5,1.1246802645891247,6000.0,1869.5078678149755,-1,0.0,9.094947017729282e-13
