window,beta,success,nodes,overlap_nodes,max_overlap_kwh,expected_overlap_kwh,current_overlap_kwh,expected_throughput_kwh,wall_seconds
2025-03-01-002,0.001,True,431,0,0.0,0.0,0.0,29873.775198918644,0.063899458036758
2025-03-01-002,0.01,True,431,0,0.0,0.0,0.0,29873.775198918753,0.0540427080122754
2025-03-01-002,0.1,True,431,0,0.0,0.0,0.0,29873.77519891876,0.047501749941147864
2025-03-01-002,1.0,True,431,0,0.0,0.0,0.0,29603.736172208766,0.042539000045508146
2025-03-08-034,0.0,True,471,0,0.0,-1.0713907356085024e-13,0.0,22962.097138466845,0.0742652079788968
2025-03-08-034,0.001,True,471,0,0.0,0.0,0.0,22962.097138466845,0.07469483301974833
2025-03-08-034,0.01,True,471,0,0.0,0.0,0.0,22962.097138466845,0.06261666701175272
2025-03-08-034,0.1,True,471,0,0.0,0.0,0.0,22961.46747797533,0.05230495799332857
2025-03-08-034,1.0,True,471,0,0.0,0.0,0.0,22820.137268955197,0.048986083013005555
2025-03-21-021,0.0,True,412,0,0.0,0.0,0.0,22938.757216096987,0.06631441693753004
2025-03-21-021,0.001,True,412,0,0.0,0.0,0.0,22938.75721609699,0.05704237497411668
2025-03-21-021,0.01,True,412,0,0.0,0.0,0.0,22938.757216096994,0.054924209020100534
2025-03-21-021,0.1,True,412,0,0.0,0.0,0.0,22910.861732340483,0.04809341696090996
2025-03-21-021,1.0,True,412,0,0.0,0.0,0.0,22792.320607611793,0.04046999989077449
2025-03-22-009,0.0,True,460,0,0.0,0.0,0.0,24615.076441529498,0.06507737503852695
2025-03-22-009,0.001,True,460,0,0.0,0.0,0.0,24615.076441529498,0.05811983300372958
2025-03-22-009,0.01,True,460,0,0.0,0.0,0.0,24615.076441529494,0.0524024999467656
2025-03-22-009,0.1,True,460,0,0.0,0.0,0.0,24615.076441529498,0.048027000040747225
2025-03-22-009,1.0,True,460,0,0.0,0.0,0.0,24554.280826631988,0.04624549997970462
2025-03-22-022,0.0,True,411,0,0.0,0.0,0.0,22523.896818049558,0.05508900003042072
2025-03-22-022,0.001,True,411,0,0.0,0.0,0.0,22523.89681804956,0.05119120795279741
2025-03-22-022,0.01,True,411,0,0.0,0.0,0.0,22523.896818049558,0.04601333406753838
2025-03-22-022,0.1,True,411,0,0.0,0.0,0.0,22513.972665256988,0.04186774999834597
2025-03-22-022,1.0,True,411,0,0.0,0.0,0.0,22436.41020336332,0.04181429208256304
