model,model_id,role,seed,issue_hour,evaluation_start,evaluation_end,forecast_source,target,population,lead_slot,lead_start_exclusive_minutes,lead_end_inclusive_minutes,n,mae_kw,rmse_kw,wape_pct,bias_kw,absolute_error_sum_kw,squared_error_sum_kw2,signed_error_sum_kw,actual_absolute_sum_kw,missing_reason
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,100,990,1000,334,230.7706799192106,323.93139378702756,6.6270094775497315,-29.034718822617048,77077.40709301634,35047136.99218931,-9697.596086754094,1163079.7776000001,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,101,1000,1010,334,224.39070873313293,302.12619490946776,6.0664746457961245,-25.867206415660984,74946.4967168664,30487599.375258215,-8639.646942830768,1235420.9172999999,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,102,1010,1020,314,200.98442159726343,270.8624781941103,5.317607495259816,-19.73702214987696,63109.10838154072,23037075.377344828,-6197.424955061366,1186795.16,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,103,1020,1030,301,196.77312056932118,258.82606277147653,4.921934254866305,-25.900123156643204,59228.709291365674,20164270.161705077,-7795.937070149605,1203362.4633000002,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,104,1030,1040,309,186.3024338317751,246.95151187186906,4.330516434441547,-28.421570908414292,57567.452054018504,18844380.20768278,-8782.265410700016,1329343.8075,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,105,1040,1050,246,214.9523290252606,286.4363019909286,4.882572483970178,-48.55096534656682,52878.27294021411,20183255.754166655,-11943.537475255438,1083000.265,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,106,1050,1060,268,209.14844305763637,281.5525334992498,4.32323082045982,-92.57415045586748,56051.78273944655,21244850.20411878,-24809.872322172487,1296525.3318,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,107,1060,1070,276,164.10379944971356,219.52887787599346,3.638181270626849,25.08707230014029,45292.64864812094,13301248.189132027,6924.03195483872,1244925.5625,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,108,1070,1080,182,193.9655634362735,258.9629222076367,5.1423095339095575,7.426777471742953,35301.73254540178,12205246.704253972,1351.6734998572174,686495.675,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,109,1080,1090,236,164.6281966461272,214.9259612280799,4.263991600161665,-3.818749951183415,38852.25440848602,10901587.83911613,-901.2249884792859,911170.9884,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,110,1090,1100,245,150.40329827445336,198.06165076827259,3.638803962403282,-7.843922426174836,36848.808077241076,9610962.288738027,-1921.7609944128349,1012662.6347,
