previous_policy_id,previous_experiment,previous_label,current_policy_id,current_experiment,current_label,metric,population,unit,absolute_change_unit,previous,current,absolute_change,relative_change_pct,comparable,comparability_reason,previous_source,current_source,forecast_seed,rl_seed,period
exp006/causal_42,exp006,exp006 历史季节·树DP,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,21718716.7240269,21363488.8941576,-355227.829869345,-1.63558388086698,True,同物理口径；新规划及执行,data/results/exp006/causal_42/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_42,exp006,exp006 历史季节·树DP,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,201661.790745887,488218.146266992,286556.355521105,142.097496239232,True,同物理口径；新规划及执行,data/results/exp006/causal_42/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_2026,exp006,exp006 历史季节·2026,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,14072183.7561976,17925755.5844111,3853571.82821354,27.3843199817255,True,同物理口径；新规划及执行,data/results/exp006/causal_2026/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_2026,exp006,exp006 历史季节·2026,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,13228793.605371,15770026.2459973,2541232.64062634,19.2098593147192,True,同物理口径；新规划及执行,data/results/exp006/causal_2026/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_2026,exp006,exp006 历史季节·2026,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,843390.150826609,2155729.33841381,1312339.1875872,155.602859044652,True,同物理口径；新规划及执行,data/results/exp006/causal_2026/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_2026,exp006,exp006 历史季节·2026,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,21718314.2213713,21363488.8941576,-354825.327213746,-1.63376090610472,True,同物理口径；新规划及执行,data/results/exp006/causal_2026/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_2026,exp006,exp006 历史季节·2026,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,196666.148800595,488218.146266992,291551.997466397,148.247168739756,True,同物理口径；新规划及执行,data/results/exp006/causal_2026/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_3407,exp006,exp006 历史季节·3407,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,14086010.8265408,17925755.5844111,3839744.75787034,27.2592773436999,True,同物理口径；新规划及执行,data/results/exp006/causal_3407/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_3407,exp006,exp006 历史季节·3407,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,13207545.3739151,15770026.2459973,2562480.87208224,19.4016435267611,True,同物理口径；新规划及执行,data/results/exp006/causal_3407/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_3407,exp006,exp006 历史季节·3407,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,878465.452625661,2155729.33841381,1277263.88578815,145.397167523266,True,同物理口径；新规划及执行,data/results/exp006/causal_3407/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_3407,exp006,exp006 历史季节·3407,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,21699298.2498059,21363488.8941576,-335809.355648346,-1.5475585974369,True,同物理口径；新规划及执行,data/results/exp006/causal_3407/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_3407,exp006,exp006 历史季节·3407,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,202468.125405259,488218.146266992,285750.020861733,141.133336563361,True,同物理口径；新规划及执行,data/results/exp006/causal_3407/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/cost_only,exp006,exp006 仅费用,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,14071317.0548875,17925755.5844111,3854438.52952364,27.3921660246071,True,同物理口径；新规划及执行,data/results/exp006/cost_only/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/cost_only,exp006,exp006 仅费用,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,13215909.9956215,15770026.2459973,2554116.25037584,19.3260717666966,True,同物理口径；新规划及执行,data/results/exp006/cost_only/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/cost_only,exp006,exp006 仅费用,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,855407.059265939,2155729.33841381,1300322.27914787,152.01210523838,True,同物理口径；新规划及执行,data/results/exp006/cost_only/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
