date,total_cost_current,total_cost_baseline,difference_yuan,relative_change_pct
2025-11-30,62398.3924375344,53133.094903476,9265.29753405837,17.4379029696842
2025-10-22,54975.6007801378,45757.4646710652,9218.13610907259,20.145644378111
2025-12-16,68988.6544252861,59770.6252600805,9218.0291652056,15.4223401965348
2025-08-08,32879.5428243798,23663.9570832387,9215.58574114111,38.9435533065117
2025-06-27,27379.3221147011,18170.6041206672,9208.71799403391,50.679206551861
2025-10-27,54864.3643348682,45684.6645241535,9179.69981071472,20.0936132646031
2025-08-07,57847.2169405072,48671.1797038104,9176.03723669676,18.8531227156147
2025-08-02,32208.8677153579,23182.6960535048,9026.17166185308,38.934952349895
2025-11-23,60440.0939238755,51443.2831370882,8996.81078678729,17.488795889664
2025-06-28,27072.5381634441,18081.3084218761,8991.22974156799,49.7266543536734
2025-12-08,68396.5064839474,59453.675822166,8942.83066178139,15.041678311919
2025-05-27,45942.890026329,37059.3961055086,8883.49392082037,23.970962439671
2025-08-09,31907.4326953348,23051.7860255839,8855.64666975092,38.4163147268613
2025-08-22,34284.1744266315,25454.6488243455,8829.52560228603,34.6872811454435
2025-12-09,68497.3687264827,59689.8981942195,8807.47053226322,14.7553787135059
2025-12-18,70183.1864679769,61422.6322596927,8760.55420828415,14.2627462972359
2025-10-30,56300.8075656503,47599.9862001961,8700.82136545426,18.2790417813575
2025-11-24,58750.2380364433,50190.7571695536,8559.48086688968,17.0538986649956
2025-12-15,68440.4465994682,59884.3188496003,8556.12774986793,14.2877599916544
2025-08-12,56028.0287989117,47503.2825400491,8524.74625886255,17.9455940790523
2025-10-15,51058.9151699531,42543.7797927194,8515.13537723367,20.0149949504272
2025-12-14,68280.3501500099,59837.1342150031,8443.21593500683,14.1103280525922
2025-08-03,57844.518933158,49419.5228244977,8424.99610866029,17.0479106780933
2025-06-03,68593.6077975397,60204.4784344141,8389.1293631256,13.9343942199659
2025-12-23,68488.5964733869,60171.0126669296,8317.58380645727,13.8232405236362
2025-11-17,58585.3506313709,50269.8025244866,8315.54810688423,16.5418356334973
2025-12-28,68581.2327247757,60362.8385006022,8218.39422417351,13.6149896663516
2025-07-02,79327.150476193,71140.268929974,8186.88154621897,11.5080834938614
2025-08-30,32359.4417590423,24261.1362400636,8098.30551897869,33.3797454449209
2025-07-01,73058.2413389005,65101.2203923192,7957.02094658127,12.2225373021119
2025-12-24,66835.7782737586,58950.7757873332,7885.00248642539,13.375570348507
