scenario,model,target,horizon,population,granularity,group,unit,n,mae,rmse,wape_pct,bias
3,hold_midnight_issued,pv,next_6h,all,issue_hour,18,kW,12024,13.056405179157958,53.25558201990704,67.07722681563689,12.260279739582469
3,hold_midnight_issued,pv,next_6h,pv_generating,issue_hour,18,kW,1696,70.40599349002393,126.3163086617303,51.01971069272547,64.76176454812793
3,hold_midnight_issued,net_load,next_6h,all,issue_hour,18,kW,12024,162.6045659983265,217.96952861481145,4.109200181020702,-8.708936777465613
3,updated_issued,load,remaining_day,all,annual,all,kW,120240,145.89237036630433,194.0739443483907,3.108680670331363,-0.7007673204827186
3,updated_issued,pv,remaining_day,all,annual,all,kW,120240,146.92091235352325,291.375670789744,6.207532397380779,3.9705378578553168
3,updated_issued,pv,remaining_day,pv_generating,annual,all,kW,66867,258.89276088224966,389.39781759470003,6.083004763459295,1.8399092609848728
3,updated_issued,net_load,remaining_day,all,annual,all,kW,120240,241.8273232637309,351.67010111251506,7.832936312969063,-4.671305178338035
3,updated_issued,load,remaining_day,all,monthly,2,kW,10080,128.51292948659642,163.94306638113773,2.8479008529308705,-1.676287081115747
3,updated_issued,pv,remaining_day,all,monthly,2,kW,10080,126.74656403885274,246.78091723421983,6.472575121543266,-5.904012367728747
3,updated_issued,pv,remaining_day,pv_generating,monthly,2,kW,5073,241.30185843997734,344.42561548583814,6.201630710159393,-22.273503314081687
3,updated_issued,net_load,remaining_day,all,monthly,2,kW,10080,202.5229394511314,292.9569037268118,6.806986963839292,4.227725286612997
3,updated_issued,load,remaining_day,all,monthly,3,kW,11160,114.17888453986994,145.74038183807352,2.5978435846345325,-13.245657006979567
3,updated_issued,pv,remaining_day,all,monthly,3,kW,11160,147.8301066479246,296.48161914461195,6.44635651074389,-1.3958222115248438
3,updated_issued,pv,remaining_day,pv_generating,monthly,3,kW,6045,269.7017334161837,402.2376383087122,6.370408442631775,-5.79228909356912
3,updated_issued,net_load,remaining_day,all,monthly,3,kW,11160,218.21185888837593,330.1632223705036,7.607046680559533,-11.849834795454724
3,updated_issued,load,remaining_day,all,monthly,4,kW,10800,101.81388047094008,129.4307330204994,2.296508297473518,0.020159833480581372
3,updated_issued,pv,remaining_day,all,monthly,4,kW,10800,165.2636507123792,302.77195777075593,6.140103507399523,22.045643092440017
3,updated_issued,pv,remaining_day,pv_generating,monthly,4,kW,6273,275.22695808238274,394.82957965518034,5.939376446602718,28.653630759675334
3,updated_issued,net_load,remaining_day,all,monthly,4,kW,10800,219.6943977633473,329.73451745095196,7.724847991032569,-22.02548325895944
3,updated_issued,load,remaining_day,all,monthly,5,kW,11160,143.38423260306993,187.77133692055565,3.1906351165382465,-9.98122565381101
