scenario,issue_hour,target,n,unit,mae,rmse,bias_predicted_minus_actual,absolute_error_sum,squared_error_sum,month
3,12,load,2232,kW,192.12965792689283,257.3931396996667,155.4165465791233,428833.39649282483,147872741.70945716,10
3,12,load,2160,kW,133.44835765724386,166.09182332509164,68.4401351955025,288248.45253964677,59586826.55497945,11
3,12,load,2232,kW,147.1319957081371,185.10545013004156,81.83480035380283,328398.61442056205,76477309.75463073,12
3,12,pv,2016,kW,70.71900679497328,124.96237660651855,36.765667691025016,142569.51769866614,31481040.663373135,2
3,12,pv,2232,kW,81.86551517309128,147.68183049259082,26.347551200269507,182723.82986633974,48679748.26465767,3
3,12,pv,2160,kW,97.44222718701725,160.95925203703882,29.750133407384183,210475.21072395725,55961022.56325766,4
3,12,pv,2232,kW,96.99325302753762,166.86819301452306,21.485958553249226,216488.94075746398,62150026.25072849,5
3,12,pv,2160,kW,98.66169363079537,169.85796447743112,23.08401246013084,213109.258242518,62319732.688259095,6
3,12,pv,2232,kW,101.783171114374,173.97508038775058,25.603286301580557,227180.03792728277,67556677.42610298,7
3,12,pv,2232,kW,95.89784369410916,163.1400521107256,32.05805228105404,214043.98712525165,59403958.17720467,8
3,12,pv,2160,kW,80.42120907163321,144.3747637254298,29.861689768956268,173709.81159472774,45023196.385671146,9
3,12,pv,2232,kW,82.00413062516375,150.51821466712047,38.12043953591609,183033.2195553655,50567595.936760664,10
3,12,pv,2160,kW,54.82101237584675,99.36419539898657,20.309487642698862,118413.38673182897,21326205.586942047,11
3,12,pv,2232,kW,49.430714530805545,94.01613776508421,16.816775650245333,110329.35483275798,19728724.24570767,12
3,12,net_load,2016,kW,170.0163510971571,216.32966112584268,62.41668092874799,342752.9638118687,94345820.922169,2
3,12,net_load,2232,kW,166.0276399871885,214.79103969502773,29.039423478249713,370573.69245140476,102973745.71666083,3
3,12,net_load,2160,kW,178.7072267020277,229.6858219975233,37.68420877146774,386007.6096763798,113952045.9456244,4
3,12,net_load,2232,kW,231.22669154528464,290.4651421775603,-11.091605637624811,516097.9755290753,188313837.3667541,5
