scenario,issue_hour,target,n,unit,mae,rmse,bias_predicted_minus_actual,absolute_error_sum,squared_error_sum,lead_hour_end,target_hour_end
3,12,pv,2004,kW,168.98308363681392,220.82664431814578,31.618539803520637,338642.0996081751,97723871.30898899,3,15
3,12,pv,2004,kW,149.78873992731886,195.70435988229374,54.07121109786378,300176.63481434697,76753593.73978445,4,16
3,12,pv,2004,kW,123.88050662452004,155.1845906900653,77.5052841093339,248256.53527553816,48260843.404036775,5,17
3,12,pv,2004,kW,120.38182603970264,158.5207260961473,108.94474677772668,241245.1793835641,50358156.486507714,6,18
3,12,pv,2004,kW,74.02189131158418,120.20154922819826,73.60020882168965,148339.8701884147,28954618.523465373,7,19
3,12,pv,2004,kW,0.16207470059880238,0.6976709973790169,-0.16207470059880238,324.79769999999996,975.43662045,8,20
3,12,pv,2004,kW,0.0008088822355289421,0.003593990326512562,-0.0008088822355289421,1.621,0.025885200000000004,9,21
3,12,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,10,22
3,12,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,11,23
3,12,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,12,24
3,12,net_load,2004,kW,241.72832619767144,311.04387259349045,86.26592305107364,484423.56570013356,193883574.51862288,1,13
3,12,net_load,2004,kW,251.80037240729425,320.84109980416537,36.137859767373,504607.9463042177,206289778.69238698,2,14
3,12,net_load,2004,kW,241.03456003535803,309.3187024351991,31.323953753039017,483033.25831085746,191738831.59109527,3,15
3,12,net_load,2004,kW,230.04984435617448,304.41600668665143,12.358083097617632,461019.88808977365,185708886.674603,4,16
3,12,net_load,2004,kW,212.24988271959924,282.4846778979271,-9.149182521991387,425348.76497007685,159914376.86717963,5,17
3,12,net_load,2004,kW,210.86541667042286,274.71850619231583,-26.540000301292533,422574.2950075274,151242396.3196531,6,18
3,12,net_load,2004,kW,208.39262412193443,282.0832661157616,25.459142873658728,417618.8187403566,159460221.9211613,7,19
3,12,net_load,2004,kW,196.532594389479,264.79680687668986,92.58089291494692,393851.3191565159,140515167.25991035,8,20
