name,month,total_cost,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,charging_slots,discharging_slots,active_slots,simultaneous_slots,max_overlap_kwh,charge_starts,discharge_starts,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_soc,final_soc,minimum_soc,maximum_soc,initial_mode,final_mode,initial_power_kw,final_power_kw,degradation_interpretation,planned_mode_segments,planned_mode_segments_1slots,planned_mode_segments_2slots,planned_mode_segments_3slots,planned_mode_segments_under3slots,planned_mode_median_slots,planned_mode_minimum_slots,actual_contiguous_active_segments,actual_contiguous_active_segments_1slots,actual_contiguous_active_segments_2slots,actual_contiguous_active_segments_3slots,actual_contiguous_active_segments_under3slots,actual_contiguous_active_median_slots,actual_contiguous_active_minimum_slots
direct_hgb_memory_hold3_cap8_kappa0,6,1385159.78764685,498475.640261192,447028.84785733116,945504.4881185231,39.33772058656299,222,223,1643,1638,3281,0,0.0,153,190,3448,2460976.29816538,2465631.137309039,7719.880675383664,3705.468741409319,1313.2006779423932,5000.0,5000.0,3021.038068878241,4706.772793024812,1200.0,10800.0,-1,1,-1091.1656647487596,57.43856744497225,operating intensity proxies; not calibrated battery ageing or lifetime,229.0,0.0,0.0,27.0,0.0,16.0,3.0,343,39,41,43,80,6.0,1
direct_hgb_memory_hold3_cap8_kappa0,7,1449946.9564510428,526725.9758696522,475372.76409589325,1002098.7399655455,41.69929277810593,232,232,1742,1641,3383,0,0.0,178,198,3552,2485739.4003548897,2488663.0600645174,8615.3748,3462.850293759336,1346.9069085558408,5000.0,5000.0,4706.772793024812,3316.0180322764472,1200.0,10800.0,1,1,57.43856744497225,779.7225477481902,operating intensity proxies; not calibrated battery ageing or lifetime,237.0,0.0,0.0,25.0,0.0,15.0,3.0,376,58,43,39,101,6.0,1
direct_hgb_memory_hold3_cap8_kappa0,8,1235422.7954398373,514560.0027980063,464071.82817032444,978631.8309683308,40.72204745047775,232,233,1786,1647,3433,0,0.0,148,208,3630,2497434.5495950193,2498439.622376289,8937.456613923765,3417.1195081379033,1315.3653642047457,5000.0,5000.0,3316.0180322764472,2295.8402193987463,1200.0,10800.0,1,-1,779.7225477481902,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,239.0,0.0,0.0,28.0,0.0,18.0,3.0,356,40,42,57,82,5.0,1
direct_hgb_memory_hold3_cap8_kappa0,9,1113447.5720445856,504044.32067966595,453883.4246625469,957927.7453422127,39.858898606238036,225,226,1741,1461,3202,0,0.0,160,189,3415,2440960.866129623,2445842.127778829,8817.020055198369,3723.5104225552986,1330.4552018641843,5000.0,5000.0,2295.8402193987463,2039.130681718422,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,234.0,0.0,0.0,26.0,0.0,17.0,3.0,349,45,47,45,92,7.0,1
direct_hgb_memory_hold3_cap8_kappa0,10,1086005.4438996841,548587.0967156632,492876.2628571588,1041463.359572822,43.33219227501369,227,228,1848,1557,3405,0,0.0,138,199,3560,2504124.019630341,2508918.0671882625,7851.482556660539,3981.9976427608644,1399.8163435118574,5000.0,4973.47,2039.130681718422,2937.3484417328655,1200.0,10800.0,-1,-1,0.0,-267.4808239021363,operating intensity proxies; not calibrated battery ageing or lifetime,234.0,0.0,0.0,30.0,0.0,17.0,3.0,337,48,38,37,86,7.0,1
direct_hgb_memory_hold3_cap8_kappa0,11,1210869.256706598,594181.0215585317,536411.1128522445,1130592.1344107762,47.04652378266981,229,230,1762,1773,3535,0,0.0,145,215,3682,2749624.031515887,2754735.379038346,7728.612581584326,4240.25093596119,1570.2668533483002,5000.0,5000.0,2937.3484417328655,1200.0,1200.0,10800.0,-1,-1,-267.4808239021363,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,232.0,0.0,0.0,18.0,0.0,17.0,3.0,360,30,50,39,80,6.0,1
direct_hgb_memory_hold3_cap8_kappa0,12,1616942.9310974516,695376.3701902581,625838.7331712323,1321215.1033614906,54.974329021540754,245,246,1683,1876,3559,0,0.0,180,252,3699,3275364.1591552924,3279517.483272594,8379.682115581749,4505.429788709442,1775.8267518299604,5000.0,5000.0,1200.0,1200.0,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,248.0,0.0,0.0,20.0,0.0,13.0,3.0,432,67,52,44,119,5.0,1
direct_hgb_memory_hold1_cap8_kappa0,2,1161814.7822306058,558133.9269702542,501361.8739012751,1059495.8008715296,44.082256351031035,219,219,1596,1689,3285,0,0.0,154,179,3384,2620267.140073929,2624696.0978753185,8103.228782578657,4172.531301929628,1576.6306560588234,5000.0,5000.0,1421.7991105135516,2432.315869819444,1200.0,10800.0,1,-1,172.76,-169.5991273972254,operating intensity proxies; not calibrated battery ageing or lifetime,222.0,3.0,17.0,7.0,20.0,15.5,1.0,333,27,53,34,80,6.0,1
direct_hgb_memory_hold1_cap8_kappa0,3,1117289.1654584184,554423.1624982769,499179.7144320025,1053602.8769302792,43.839733920846335,233,234,1819,1662,3481,0,0.0,145,193,3580,2559717.7140844264,2563934.138714376,7761.793024831012,4013.170828005925,1416.132899099838,5000.0,5000.0,2432.315869819444,2222.6903984298056,1200.0,10800.0,-1,-1,-169.5991273972254,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,242.0,16.0,19.0,5.0,35.0,15.5,1.0,338,52,50,21,102,6.0,1
direct_hgb_memory_hold1_cap8_kappa0,4,929096.7327823293,503099.8527324414,453605.85298663756,956705.7057190791,39.809374139417876,215,216,1699,1581,3280,0,0.0,127,188,3418,2364840.4994255723,2369292.466998081,8305.616979609651,4022.661493788149,1328.7579246098321,5000.0,4730.4775,2222.6903984298056,1362.5661302813778,1200.0,10800.0,-1,-1,0.0,-623.7791939477811,operating intensity proxies; not calibrated battery ageing or lifetime,230.0,14.0,18.0,14.0,32.0,18.0,1.0,315,55,38,39,93,6.0,1
direct_hgb_memory_hold1_cap8_kappa0,5,925021.6958086988,479152.0525230522,429560.4168949571,908712.4694180093,37.80666608896202,229,230,1690,1640,3330,0,0.0,147,203,3532,2314735.226350835,2319935.3431117446,8244.8276,3898.291179174146,1221.387727712378,5000.0,5000.0,1362.5661302813778,3129.6789056773932,1200.0,10800.0,-1,-1,-623.7791939477811,-1041.7923133709394,operating intensity proxies; not calibrated battery ageing or lifetime,246.0,11.0,17.0,15.0,28.0,15.5,1.0,350,53,52,33,105,6.0,1
direct_hgb_memory_hold1_cap8_kappa0,6,1381644.4714685457,493465.84581939655,442597.61234996794,936063.4581693646,38.94506889222031,224,225,1647,1598,3245,0,0.0,153,200,3424,2443539.326428869,2448153.062332491,7979.891846995966,3695.4569923367744,1300.0881363463395,5000.0,5000.0,3129.6789056773932,4733.637666852818,1200.0,10800.0,-1,1,-1041.7923133709394,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,229.0,10.0,17.0,7.0,27.0,14.0,1.0,353,61,57,21,118,7.0,1
direct_hgb_memory_hold1_cap8_kappa0,7,1453239.1987898608,521094.288924218,470296.54540218646,991390.8343264045,41.253730625214466,230,230,1751,1626,3377,0,0.0,181,204,3554,2430750.9529078016,2433557.1402959237,8071.916776432823,3276.238415912316,1332.5145622666726,5000.0,5000.0,4733.637666852818,3350.999885534505,1200.0,10800.0,1,1,0.0,854.4343475132566,operating intensity proxies; not calibrated battery ageing or lifetime,243.0,13.0,18.0,10.0,31.0,15.0,1.0,385,65,49,36,114,5.0,1
direct_hgb_memory_hold1_cap8_kappa0,8,1233349.062537624,515738.15601795766,465151.92341660126,980890.0794345589,40.81605639374292,228,229,1774,1658,3432,0,0.0,145,210,3623,2535182.9014463145,2536143.247096138,8913.995299999999,3566.276258459662,1318.4006444012887,5000.0,5000.0,3350.999885534505,2309.9959989172316,1200.0,10800.0,1,-1,854.4343475132566,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,241.0,10.0,19.0,14.0,29.0,18.0,1.0,355,55,55,34,110,5.0,1
direct_hgb_memory_hold1_cap8_kappa0,9,1111798.8168876288,506992.5377369042,454485.02188181656,961477.5596187208,40.00185958249644,224,225,1821,1444,3265,0,0.0,160,172,3444,2442958.356172834,2447726.091346679,8813.480457381824,3648.1833451287193,1335.3854994704454,5000.0,5000.0,2309.9959989172316,4216.071593494514,1200.0,10800.0,-1,1,0.0,1191.3432218932267,operating intensity proxies; not calibrated battery ageing or lifetime,231.0,5.0,15.0,6.0,20.0,17.0,1.0,332,35,54,29,89,7.0,1
direct_hgb_memory_hold1_cap8_kappa0,10,1081253.130895799,548214.7859661758,494731.33283526695,1042946.1188014429,43.398951044189396,233,233,1901,1562,3463,0,0.0,143,182,3586,2542695.4531595176,2546285.9684635736,7856.0536259002665,4061.3615204816374,1401.809299464305,5000.0,4973.47,4216.071593494514,2805.6689138453435,1200.0,10800.0,1,-1,1191.3432218932267,-164.84127535993036,operating intensity proxies; not calibrated battery ageing or lifetime,240.0,10.0,14.0,7.0,24.0,16.0,1.0,325,53,40,15,93,8.0,1
direct_hgb_memory_hold1_cap8_kappa0,11,1210118.4889922764,592457.1374267447,534734.694964834,1127191.8323915787,46.90475212870777,235,236,1729,1792,3521,0,0.0,148,222,3673,2778067.6242655898,2781863.204961389,7724.487700810136,4265.221835505402,1565.5442116549705,5000.0,5000.0,2805.6689138453435,1200.0,1200.0,10800.0,-1,-1,-164.84127535993036,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,238.0,4.0,17.0,13.0,21.0,16.0,1.0,370,41,68,28,109,6.0,1
direct_hgb_memory_hold1_cap8_kappa0,12,1615062.4539670467,694002.2410393663,624602.0169354298,1318604.257974796,54.86569457363949,243,244,1658,1880,3538,0,0.0,175,258,3680,3274377.3374545104,3278440.3125449945,8385.3822,4517.523589457804,1772.3175510413926,5000.0,5000.0,1200.0,1200.0,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,248.0,1.0,6.0,15.0,7.0,13.0,1.0,433,65,65,40,130,5.0,1
