day,month,method,rmse_yuan_per_kwh,mae_yuan_per_kwh,bias_yuan_per_kwh,high_realized_price_ge1_rmse,high_realized_price_ge1_mae,high_realized_price_slots,realized_price_weighted_mae,fixed_purchase_absolute_price_exposure_proxy_yuan,fixed_purchase_signed_price_exposure_proxy_yuan
250,9,linked_hgb,0.06802424774851862,0.05189961309077317,-0.04202470193011059,0.07704634219616333,0.06052934540397719,36,0.054729551741923524,2615.7535227819817,-2412.893337929797
251,9,baseline,0.053018375349653105,0.04145096225974477,-0.013514783380379945,0.06727155477551375,0.05168484473964625,32,0.04457662878045146,2677.213963142309,-1687.019912430447
251,9,linked_hgb,0.055263772826178045,0.04214963498558974,0.005769436602140775,0.06298382784701946,0.05033362980647805,32,0.04476799523621687,2181.2722693852393,-836.7078913394039
252,9,baseline,0.07256912672582988,0.05523314262735538,-0.044677955983509904,0.09325119352129034,0.07494400463678796,39,0.06036594162107668,2745.317328319594,-1855.935765170921
252,9,linked_hgb,0.05826243769814985,0.04299304721719962,-0.032804865087474204,0.06435937766218451,0.050218024665999506,39,0.04540525353669234,2359.552800860517,-1574.1310505057672
253,9,baseline,0.048951841570084025,0.03918276622313133,-0.007142785184908379,0.03908973616075674,0.030884162792658973,30,0.03666433429258402,2699.4431156343007,-1191.9684097749891
253,9,linked_hgb,0.04977320952900593,0.04063101167143621,0.0038188588745362525,0.0420897337811963,0.03547796402935689,30,0.03851941794374822,2898.1544529274925,-957.4723303139616
254,9,baseline,0.0608650265464601,0.04932737106847972,0.039521569785491706,0.05817683367645191,0.04685411743383862,18,0.04759310827940299,1022.6321230127874,529.442698463096
254,9,linked_hgb,0.04501184132150808,0.03614545830873671,-0.005505890910013266,0.06564946061671241,0.05416656937757983,18,0.039479370562825154,865.671851613744,-343.2011401390147
255,9,baseline,0.054415464559402105,0.042993821529725744,-0.003877226850569406,0.048725958178330815,0.038100550415924764,18,0.04088586102370546,1396.8570140979893,-687.2794085824888
255,9,linked_hgb,0.06031590922754919,0.04916344734103564,-0.0327227029116521,0.06808337859271935,0.0593948565452052,18,0.05262912778109205,1572.4198340534713,-1394.4915923743788
256,9,baseline,0.10775517366578641,0.09212552291242573,-0.0908664038347187,0.12394357099657861,0.11309196512183052,38,0.10043209493874297,4572.820057316694,-4468.6500177923635
256,9,linked_hgb,0.08609736554573338,0.07282384773046863,-0.07152369254060904,0.09592759602613016,0.08595597892313031,38,0.07801488431142314,3619.1458275740715,-3510.9332254484357
257,9,baseline,0.051716465352169276,0.04144878700287843,-0.006602618037059974,0.05429030439019235,0.04402889907632046,32,0.041539317657945274,2600.9846829610974,-1438.676124833245
257,9,linked_hgb,0.05294770505674025,0.040901165489063196,0.007744677010187816,0.04390680954708198,0.034878916592124935,32,0.040263416990046715,2382.9406496206366,-578.8892577087884
258,9,baseline,0.06021975295184178,0.047593247796259605,-0.040267644495262905,0.05633323277182732,0.04460743654842025,34,0.048018229529074974,2461.4068335971497,-1828.9031058342675
258,9,linked_hgb,0.04666159847762415,0.035340070615267234,-0.02109385773832916,0.04436243482547366,0.036486073756965484,34,0.034945375833775306,1981.2094400770757,-946.5199611234066
259,9,baseline,0.04826265170555266,0.038224402265663315,-0.01510563578856521,0.04973341873351969,0.037473262358689724,39,0.037120585420369424,2345.9115158250243,-1066.908615174457
259,9,linked_hgb,0.042354040413474785,0.033541912216433135,-0.00336395209858087,0.042069348853774065,0.032023881853158694,39,0.032514355502241334,2205.4942815320774,-308.16123082002724
