experiment,model,label,target,population,issue_hour,n,mae_kw,rmse_kw,wape_pct,absolute_error_sum_kw,squared_error_sum_kw2,actual_absolute_sum_kw,available,value_basis,source,source_sha256,source_row_label,forecast_reused,missing_reason,model_id,role,seed,evaluation_start,evaluation_end,forecast_source,month,days,bias_kw,signed_error_sum_kw
exp008,single_hgb,exp008 单HGB,net_load,pv_generating,0,26880.0,327.75067897831053,452.98852237365014,13.534717471343892,8809938.250936987,5515738405.692828,65091408.59120001,True,new read-only score of frozen issued forecast,data/results/exp008/forecast_absolute_hgb/direct_hgb_ridge28_memory_half.npz,adb914a26effb21e3117d7674d6c73d2488e97558b6fc9023163bb1d4b746095,,False,,direct_hgb_ridge28_memory_half,Q3/Q4 model; midnight diagnostic only,42.0,2025-02-01,2025-12-31,data/results/exp008/forecast_absolute_hgb/direct_hgb_ridge28_memory_half.npz,0.0,334.0,-15.262795800131531,-410263.9511075356
exp008,single_hgb,exp008 单HGB,pv,all,0,48096.0,153.6606726940242,307.5828489793913,6.459442330857028,7390463.713891787,4550228323.404078,114413339.9657,True,new read-only score of frozen issued forecast,data/results/exp008/forecast_absolute_hgb/direct_hgb_ridge28_memory_half.npz,adb914a26effb21e3117d7674d6c73d2488e97558b6fc9023163bb1d4b746095,,False,,direct_hgb_ridge28_memory_half,Q3/Q4 model; midnight diagnostic only,42.0,2025-02-01,2025-12-31,data/results/exp008/forecast_absolute_hgb/direct_hgb_ridge28_memory_half.npz,0.0,334.0,7.559976711400568,363604.6399115217
exp008,single_hgb,exp008 单HGB,pv,pv_generating,0,26880.0,272.6908609491009,411.3246686794173,6.406534713967159,7329930.342311832,4547772984.766566,114413339.9657,True,new read-only score of frozen issued forecast,data/results/exp008/forecast_absolute_hgb/direct_hgb_ridge28_memory_half.npz,adb914a26effb21e3117d7674d6c73d2488e97558b6fc9023163bb1d4b746095,,False,,direct_hgb_ridge28_memory_half,Q3/Q4 model; midnight diagnostic only,42.0,2025-02-01,2025-12-31,data/results/exp008/forecast_absolute_hgb/direct_hgb_ridge28_memory_half.npz,0.0,334.0,11.274972780192202,303071.2683315664
exp009,final_blend,exp009 固定预测复用,load,all,0,48096.0,136.9730927360006,182.98698621729875,2.9668556880686503,6587857.868230686,1610457868.7587037,222048476.9355,True,new read-only score of frozen issued forecast,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,b473bafb95ff9526857d34eee60bc6596d005ec77cbae8ea790627afc3ca856a,,True,,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42.0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,0.0,334.0,-3.5806242718477694,-172213.7049787903
exp009,final_blend,exp009 固定预测复用,load,pv_generating,0,26880.0,136.42428403234365,181.23777819084373,2.567863712137439,3667084.7547893976,882930914.7067173,142806829.5625,True,new read-only score of frozen issued forecast,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,b473bafb95ff9526857d34eee60bc6596d005ec77cbae8ea790627afc3ca856a,,True,,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42.0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,0.0,334.0,-4.619226830770573,-124164.817211113
exp009,final_blend,exp009 固定预测复用,net_load,all,0,48096.0,242.02055095275423,357.1618393483832,8.064833340403238,11640220.418623667,6135346014.993298,144333055.96420002,True,new read-only score of frozen issued forecast,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,b473bafb95ff9526857d34eee60bc6596d005ec77cbae8ea790627afc3ca856a,,True,,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42.0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,0.0,334.0,-9.760434657475152,-469437.865285925
exp009,final_blend,exp009 固定预测复用,net_load,pv_generating,0,26880.0,324.25239467231944,448.4726784710108,13.390253118551025,8715904.368791947,5406313740.843795,65091408.59120001,True,new read-only score of frozen issued forecast,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,b473bafb95ff9526857d34eee60bc6596d005ec77cbae8ea790627afc3ca856a,,True,,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42.0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,0.0,334.0,-13.779532027034604,-370393.82088669017
exp009,final_blend,exp009 固定预测复用,pv,all,0,48096.0,153.25935231883813,307.0503899088877,6.44257200369873,7371161.809126838,4534488087.700146,114413339.9657,True,new read-only score of frozen issued forecast,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,b473bafb95ff9526857d34eee60bc6596d005ec77cbae8ea790627afc3ca856a,,True,,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42.0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,0.0,334.0,6.179810385627388,297224.16030713485
exp009,final_blend,exp009 固定预测复用,pv,pv_generating,0,26880.0,272.3276284410447,410.62933761117824,6.398001015169905,7320166.652495281,4532410254.140026,114413339.9657,True,new read-only score of frozen issued forecast,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,b473bafb95ff9526857d34eee60bc6596d005ec77cbae8ea790627afc3ca856a,,True,,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42.0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,0.0,334.0,9.160305196264035,246229.0036755773
exp009,single_hgb,exp009 固定预测复用,load,all,0,48096.0,144.7735784301409,192.85525876759695,3.135815261727131,6963030.028176057,1788841782.5273004,222048476.9355,True,new read-only score of frozen issued forecast,data/results/exp008/forecast_absolute_hgb/direct_hgb_ridge28_memory_half.npz,adb914a26effb21e3117d7674d6c73d2488e97558b6fc9023163bb1d4b746095,,True,,direct_hgb_ridge28_memory_half,Q3/Q4 model; midnight diagnostic only,42.0,2025-02-01,2025-12-31,data/results/exp008/forecast_absolute_hgb/direct_hgb_ridge28_memory_half.npz,0.0,334.0,-3.22756038304155,-155232.7441827664
