experiment,scenario,month,planned_cost_yuan,up_adjustment_cost_yuan,down_adjustment_cost_yuan,emergency_cost_yuan,adjustment_cost_yuan,total_cost_yuan,original_purchase_kwh,final_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh
exp008,4-2,2025-04,866096.4649099647,0.0,0.0,45665.043649823245,0.0,911761.508559788,1511936.0924913983,1511936.0924913983,8227.917691371964,501124.0696430557,449444.0068146946
exp008,4-2,2025-05,884322.6559729865,0.0,0.0,28862.917455099807,0.0,913185.5734280864,1488669.512500233,1488669.512500233,6385.159340938224,488575.24632800836,441806.69619159895
exp008,4-2,2025-06,1320450.412888101,0.0,0.0,146031.49779612658,0.0,1466481.9106842277,1940464.6448942504,1940464.6448942504,24909.663562169848,484804.9697821974,434253.11338759604
exp008,4-2,2025-07,1587212.3386730643,0.0,0.0,72132.86547974493,0.0,1659345.204152809,2180486.7163976864,2180486.7163976864,13534.22382176153,526852.7763535241,475831.99999372725
exp008,4-2,2025-08,1318443.5686389022,0.0,0.0,52663.468544056836,0.0,1371107.037182959,1882513.645818448,1882513.645818448,9240.57705076469,524801.784333523,472482.9766118152
exp008,4-2,2025-09,1046559.8377164267,0.0,0.0,73930.04856197826,0.0,1120489.8862784049,1671363.0862818602,1671363.0862818602,14975.021195535906,510872.33627775754,458681.4940590736
exp008,4-2,2025-10,1069585.3739701794,0.0,0.0,11875.96195058813,0.0,1081461.3359207676,1751790.0580631257,1751790.0580631257,2214.2381710898753,552199.6642270926,498237.13067368796
exp008,4-2,2025-11,1257269.7609257693,0.0,0.0,12827.081262163078,0.0,1270096.8421879325,1934600.7037020866,1934600.7037020866,2709.011217256788,558688.0647835779,503716.08260269294
exp008,4-2,2025-12,1792848.7322655474,0.0,0.0,53214.47663171068,0.0,1846063.2088972582,2518408.6342008,2518408.6342008,9571.007327003037,641713.272340981,577541.945106883
exp009,4-2,2025-02,1205572.888405074,0.0,0.0,20191.45355641226,0.0,1225764.341961486,1871974.5701455653,1871974.5701455653,3834.515331790327,570912.4459083802,509196.23886404745
exp009,4-2,2025-03,1047208.9441705648,0.0,0.0,67858.7463551851,0.0,1115067.69052575,1762141.5227776668,1762141.5227776668,11861.841626848205,583383.152660247,528703.6233669329
exp009,4-2,2025-04,862467.3779927407,0.0,0.0,55912.9382011267,0.0,918380.3161938675,1514564.2330236186,1514564.2330236186,9940.284078294415,529399.2844421512,477103.86867353524
exp009,4-2,2025-05,882194.9733978112,0.0,0.0,30663.873198769874,0.0,912858.846596581,1495371.4296594088,1495371.4296594088,6478.180305048162,518810.0083026475,461287.6117429499
exp009,4-2,2025-06,1314887.0605324123,0.0,0.0,150903.76835432454,0.0,1465790.8288867367,1937219.7083164,1937219.7083164,25662.7961588511,534223.1011107981,484407.33928200003
exp009,4-2,2025-07,1588755.1410117545,0.0,0.0,74667.53091014078,0.0,1663422.6719218951,2186923.0320733096,2186923.0320733096,13694.636278818441,565188.9803661918,510373.99232498504
exp009,4-2,2025-08,1317554.6919813736,0.0,0.0,55298.877649380796,0.0,1372853.5696307544,1884050.7955463284,1884050.7955463284,8998.04245524979,556655.7762765427,501143.8248029274
exp009,4-2,2025-09,1045918.318343322,0.0,0.0,72484.27099149727,0.0,1118402.5893348192,1673800.9829011513,1673800.9829011513,13787.952976143983,535448.9400436248,480351.7141362693
exp009,4-2,2025-10,1067764.2134562696,0.0,0.0,10442.725950371592,0.0,1078206.939406641,1757417.5710754865,1757417.5710754865,2111.4245932886097,581578.7777089492,519462.05617260304
exp009,4-2,2025-11,1252628.8695817853,0.0,0.0,12724.249335588538,0.0,1265353.118917374,1931539.7462686996,1931539.7462686996,2421.9724230561364,586559.1118630249,533445.8438109364
exp009,4-2,2025-12,1791191.3083932188,0.0,0.0,51637.772245878325,0.0,1842829.080639097,2520151.201387776,2520151.201387776,8919.54100544836,676706.3238421921,609683.8120267541
exp008,4-3,2025-02,1119969.0981441892,80282.1204702099,0.0,21731.0231582156,80282.1204702099,1221982.2417726147,1773567.0701836755,1836045.8708508618,4370.101299547219,622645.7166491568,560344.6587120051
exp008,4-3,2025-03,974030.8263763279,80324.92924493985,0.0,4653.295707990902,80324.92924493985,1059009.0513292586,1656107.8780931437,1730895.8192498034,1078.4152775889,634737.6549044675,571040.2955442853
exp008,4-3,2025-04,794782.2898638675,59407.42239248865,0.0,11425.268738737272,59407.42239248865,865614.9809950934,1396289.9104007296,1454716.669200185,2645.926042214929,550943.1814633796,496415.1203006797
exp008,4-3,2025-05,800027.6162546976,60344.20628191507,0.0,30576.660975897244,60344.20628191507,890948.4835125098,1377818.0658289732,1434005.7967466204,6941.67223227622,527090.4734237416,473816.0605799874
exp008,4-3,2025-06,1164155.375472373,131002.2915225941,0.0,26421.159098661403,131002.2915225941,1321578.8260936285,1780091.7086235788,1893203.6877195695,6159.667356735003,574505.0486534444,517383.5862686918
exp008,4-3,2025-07,1429077.7994679138,174993.1053447189,0.0,27281.31215196292,174993.1053447189,1631352.2169645957,2012446.8154266588,2141881.118753868,6297.443739393607,585608.7379926281,526714.1051281804
exp008,4-3,2025-08,1217778.8530393923,106054.37005682634,0.0,35653.963807433625,106054.37005682634,1359487.1869036523,1757869.1390900933,1850788.0472863328,6078.755090262809,560375.495768551,504292.2682303857
exp008,4-3,2025-09,957629.8802756316,90750.203184066,0.0,23196.029669864824,90750.203184066,1071576.1131295622,1553378.689214053,1629626.3234575398,5298.209953205121,561435.1795475719,505090.2668399604
exp008,4-3,2025-10,964195.5931608394,100704.17610552702,0.0,7065.243767500683,100704.17610552702,1071965.013033867,1616150.8934084834,1709264.6091283401,1280.4969064539966,632656.6848561274,569416.4069897383
exp008,4-3,2025-11,1165684.1771539277,104321.79926489967,0.0,2966.7820613246445,104321.79926489967,1272972.758480152,1843937.6997593204,1928903.655720485,708.7612457434179,635603.4694155751,572685.5898014784
exp008,4-3,2025-12,1677944.5516030104,101517.29883952318,0.0,33921.74230435682,101517.29883952318,1813383.5927468904,2397963.038070056,2474836.037885927,5458.266910124617,742382.9402628212,668293.9430899922
exp009,4-3,2025-02,1120852.6097312241,79343.67089763697,0.0,20626.26850817254,79343.67089763697,1220822.5491370338,1777229.8930602698,1838687.9866947932,4044.7641335430994,669508.3941556881,602470.9297369524
exp009,4-3,2025-03,975453.0064431801,78689.41853077484,0.0,4380.126455018737,78689.41853077484,1058522.5514289737,1662012.5734341885,1735274.87307026,985.6025365276015,701613.0988487389,631241.3679643411
exp009,4-3,2025-04,796361.0718350768,58059.89557730749,0.0,10684.16121908669,58059.89557730749,865105.128631471,1401545.5512265516,1458803.602664106,2476.097698035774,618043.6424183605,556842.5010208818
exp009,4-3,2025-05,802405.3661390552,59158.66478811572,0.0,30039.42775752941,59158.66478811572,891603.4586847003,1383780.447634761,1438894.7212000294,6779.479624241462,597962.9386368641,537565.8047884896
exp009,4-3,2025-06,1167252.9734454104,128946.95315711093,0.0,25721.99203081867,128946.95315711093,1321921.91863334,1786507.8194992456,1898519.7757486755,5871.181603209172,641886.4919098818,577993.7675364708
exp009,4-3,2025-07,1430971.662115928,173667.62836847632,0.0,26166.01925332759,173667.62836847632,1630805.309737732,2016991.8316190492,2145551.541805098,5903.433443214165,639213.1337419696,575019.3302423017
exp009,4-3,2025-08,1219829.9505821662,104466.8124147358,0.0,34982.74068955467,104466.8124147358,1359279.5036864567,1763626.9568417848,1855213.183665812,6019.8716545745765,624587.7513588067,562072.0482854646
exp009,4-3,2025-09,959330.1274139532,89216.81341425744,0.0,22540.37271682807,89216.81341425744,1071087.3135450387,1558307.3794515755,1633763.6538320067,5097.8858065439235,617863.1815168265,555914.9806706057
exp009,4-3,2025-10,965072.8840565755,99509.59813855884,0.0,6942.874745953112,99509.59813855884,1071525.3569410874,1621783.399707384,1714107.1674472827,1254.0678670789532,699111.9101150945,629280.3615107948
exp009,4-3,2025-11,1166769.5396608894,101932.03928362939,0.0,2591.215471082272,101932.03928362939,1271292.794415601,1849334.2963568345,1932089.9517483776,601.2635953591955,701796.5173863544,632175.2629169568
exp009,4-3,2025-12,1678082.8982504103,100380.89119387964,0.0,32973.86198611585,100380.89119387964,1811437.6514304057,2403403.5931587117,2479486.5037826123,5200.898032904059,813063.1353025082,731914.9980203911
