name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
causal_season,3407,causal_season_seed_3407,False,load,12.0,16.0,8016,1630173.7906645292,564105565.6885816,940186.9992866267,45186244.1546,203.3649938453754,265.2780631892765,3.607677117591496,117.28879731619594
causal_season,3407,causal_season_seed_3407,False,pv,12.0,16.0,8016,4082825.8226618473,3540961158.353637,-2645051.8081207657,49192026.388000004,509.3345587153003,664.6327342610368,8.299771573666703,-329.9715329491973
causal_season,3407,causal_season_seed_3407,False,load,16.0,20.0,8016,1763419.6914581945,667691928.719162,995900.0762003026,38937812.863000005,219.9874864593556,288.60856066187745,4.528810330622997,124.2390314621136
causal_season,3407,causal_season_seed_3407,False,pv,16.0,20.0,8016,639184.9070000288,188579167.14364597,-223705.55366081317,6710354.7006,79.738636102798,153.37974182580516,9.525352019661147,-27.907379448704237
causal_season,3407,causal_season_seed_3407,False,load,20.0,24.0,8016,1777472.2916107702,671427965.1041605,1000079.9356244267,30697741.134099998,221.74055534066494,289.41488159843954,5.79023806294431,124.76047101103127
causal_season,3407,causal_season_seed_3407,False,pv,20.0,24.0,8016,592.8186735041666,12486.213415883572,589.5788735041667,1.621,0.07395442533734613,1.2480630409866693,36571.17048144149,0.07355025867067948
oracle_season,42,oracle_season_seed_42,True,load,0.0,4.0,8016,1617989.03045274,533719284.57582366,959411.7528398624,27935677.339499995,201.84493892873502,258.0343912695017,5.791837480041926,119.68709491515249
oracle_season,42,oracle_season_seed_42,True,pv,0.0,4.0,8016,555.4495848114032,6400.036700571114,552.321584811403,1.6239000000000001,0.06929261287567405,0.8935366651835472,34204.66683979328,0.06890239331479578
oracle_season,42,oracle_season_seed_42,True,load,4.0,8.0,8016,1533881.9167209645,458134711.40043485,913757.6383231432,32783673.431,191.3525345210784,239.0659613105548,4.678798182727555,113.9917213476975
oracle_season,42,oracle_season_seed_42,True,pv,4.0,8.0,8016,741269.5717219724,263263915.79485244,-337637.1355830044,7868652.727799999,92.47374896731193,181.22445989608386,9.420539924237124,-42.12040114558438
oracle_season,42,oracle_season_seed_42,True,load,8.0,12.0,8016,1511794.7929103018,449796584.7764275,881322.2076085636,46507328.0133,188.59715480417938,236.8804517056081,3.25065932078051,109.94538518070902
oracle_season,42,oracle_season_seed_42,True,pv,8.0,12.0,8016,4506320.86147872,4327703567.475389,-2984548.07096234,50642302.90439999,562.1657761325748,734.767432304449,8.898333217558307,-372.3238611479965
oracle_season,42,oracle_season_seed_42,True,load,12.0,16.0,8016,1625174.6310462453,547128665.1745464,923829.5880335754,45186244.1546,202.74134618840387,261.25576357052995,3.596613662967607,115.24820209999693
oracle_season,42,oracle_season_seed_42,True,pv,12.0,16.0,8016,4265849.130829413,3843325219.41351,-2860161.4571661446,49192026.388000004,532.1668077382003,692.4281471378754,8.671830465333366,-356.80656900775256
oracle_season,42,oracle_season_seed_42,True,load,16.0,20.0,8016,1697190.9373781818,615687135.1090165,951966.9926376785,38937812.863000005,211.72541633959355,277.1412588084985,4.358721799166354,118.75835736497986
oracle_season,42,oracle_season_seed_42,True,pv,16.0,20.0,8016,612196.0132067162,198844261.48973897,-290710.0987039022,6710354.7006,76.37175813457038,157.49895505852828,9.123154296925277,-36.266229878231314
