run_id,rl_seed,cutoff_day,iteration_at_cutoff,global_iteration,transitions,training_start_day,training_end_day,history_days,max_observed_index,rollout_seconds,update_seconds,mean_episode_reward,mean_episode_cost_yuan,mean_episode_throughput_kwh,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,gradient_norm
cost_only_3407,3407,171,15,629,4608,81,170,90,24623,0.044589375029318035,0.030709333019331098,-46.73981475830078,46445.844949890234,26576.82628335832,0.19634474244796568,-0.004964347437231077,0.4478129405114386,2.259738153881497,0.0023939416334428643,0.02001953125,1.6226917339695826
cost_only_3407,3407,171,16,630,4608,81,170,90,24623,0.04484737501479685,0.030751375015825033,-44.98860168457031,44826.53652047839,24708.168975405417,0.6590023533337646,-0.003605928478969468,1.3703867312934663,2.258508457077874,0.0023054807938933664,0.017957899305555556,2.7052378290229373
cost_only_3407,3407,171,17,631,4608,81,170,90,24623,0.04475516697857529,0.030548374983482063,-50.2457275390625,50474.40337630072,28391.36920381047,0.23540831833249992,-0.002677748781732387,0.5192067159546746,2.1517289810710483,0.0011672938089759555,0.008626302083333334,1.8511833979023828
cost_only_3407,3407,171,18,632,4608,81,170,90,24623,0.0449746249942109,0.030577208031900227,-44.27460479736328,44426.301650151756,27002.683213239805,0.147653889687111,-0.0034237470374339158,0.34679610696103835,2.2320416039890714,0.0018249835307086767,0.012586805555555556,1.790689296192593
cost_only_3407,3407,171,19,633,4608,81,170,90,24623,0.0447244590613991,0.030572916963137686,-47.38522720336914,48009.23031216973,26877.119753630912,0.2700153622362349,-0.0016567479405138227,0.5872225206759241,2.193915022744073,0.001110312095963511,0.002170138888888889,1.945757978492313
cost_only_3407,3407,171,20,634,4608,81,170,90,24623,0.04395837499760091,0.030855874996632338,-44.50889205932617,44325.1881314881,25006.500588349998,0.2830956209864881,-0.004052593967773848,0.6199862377511131,2.2844905853271484,0.0033299961607756107,0.022840711805555556,1.7962377303176456
cost_only_3407,3407,171,21,635,4608,81,170,90,24623,0.04351258394308388,0.030049917055293918,-45.74916458129883,45683.84135250149,25281.305118068987,0.2015452693319983,-0.0027906596143212584,0.4538964405655861,2.2612294488483005,0.0018135731141973742,0.012315538194444444,1.5412885232104196
cost_only_3407,3407,171,22,636,4608,81,170,90,24623,0.044514916953630745,0.0303518750006333,-43.256690979003906,43137.441697647315,24161.98206341073,0.15852468605670664,-0.0036564764773680102,0.370531789958477,2.3084732161627874,0.0020835469857855868,0.022243923611111112,1.512756970193651
cost_only_3407,3407,171,23,637,4608,81,170,90,24623,0.043668042053468525,0.030083750025369227,-47.118133544921875,47195.828207718,24693.871292826334,0.25775298848748207,-0.0028617802179521984,0.566822424530983,2.2796442839834423,0.0017473600460612539,0.010796440972222222,1.9517144461472828
cost_only_3407,3407,171,24,638,4608,81,170,90,24623,0.04371854104101658,0.029692667070776224,-45.51823425292969,45559.37727324839,23407.020132485326,0.15326451448102793,-0.004595742819623815,0.36113741828335655,2.2708451549212136,0.0023738841732665605,0.012424045138888888,1.4013155963685777
cost_only_3407,3407,171,25,639,4608,81,170,90,24623,0.0436312910169363,0.029603082919493318,-45.245635986328125,45359.984384228985,26354.11145861751,0.40741882680190933,-0.0009620183199230167,0.8610737538999982,2.215603894657559,0.0005539672122015165,0.00037977430555555556,2.4687486026022167
cost_only_3407,3407,171,26,640,4608,81,170,90,24623,0.042713250033557415,0.028930415981449187,-46.65558624267578,46575.34622616154,26168.558185461654,0.30546660762694144,-0.0027419316271940866,0.6605316773056984,2.2057301269637213,0.0010613352107308553,0.006618923611111111,2.1895536879698434
cost_only_3407,3407,171,27,641,4608,81,170,90,24623,0.04377987491898239,0.028787125018425286,-48.36195373535156,48460.595734772665,25655.74041190745,0.1894756741821766,-0.004210739021396471,0.4313640395800273,2.1995608607927957,0.002658696638693275,0.023383246527777776,1.4937123656272888
cost_only_3407,3407,171,28,642,4608,81,170,90,24623,0.043206333997659385,0.029782749945297837,-45.274131774902344,45420.55834815858,25752.789929001112,0.31699002037445706,-0.0019244181845958035,0.6826104405853484,2.2390784290101795,0.0007318732626926147,0.001247829861111111,1.8675079511271582
